Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W)
0,0.054,1117.0,29.01,623.0,0.55,0.0,0.0,0.0,0.054
1,0.034,1060.0,16.41,621.0,1.06,0.0,709.0,0.32,0.034
2,0.047,1073.0,15.23,615.0,0.84,0.0,0.0,0.0,0.047
3,0.031,1055.0,13.94,619.0,1.66,0.0,0.0,0.0,0.031
4,0.031,1046.0,16.53,613.0,1.25,0.0,0.0,0.0,0.031
5,0.031,1051.0,13.82,617.0,1.82,0.0,0.0,0.0,0.031
6,0.03,1054.0,15.73,614.0,1.55,0.0,0.0,0.0,0.03
7,0.03,1051.0,14.28,614.0,1.21,0.0,0.0,0.0,0.03
8,0.031,1058.0,15.03,618.0,0.98,0.0,0.0,0.0,0.031
9,0.031,1060.0,16.35,617.0,1.39,0.0,711.0,0.41,0.031
10,0.029,1050.0,13.86,611.0,1.51,0.0,0.0,0.0,0.029
11,0.047,1054.0,37.43,612.0,1.13,0.0,0.0,0.0,0.047
12,0.032,1055.0,17.42,613.0,1.92,0.0,0.0,0.0,0.032
13,0.018,1000.0,9.57,609.0,1.14,0.0,0.0,0.0,0.018
14,0.023,1035.0,11.43,610.0,1.41,0.0,0.0,0.0,0.023
15,0.03,1051.0,14.44,613.0,1.28,0.0,0.0,0.0,0.03
16,0.03,1053.0,14.22,617.0,1.04,0.0,0.0,0.0,0.03
17,0.031,1064.0,13.38,619.0,1.93,0.0,0.0,0.0,0.031
18,0.032,1057.0,12.84,611.0,1.68,0.0,0.0,0.0,0.032
19,0.03,1035.0,12.23,613.0,1.38,0.0,0.0,0.0,0.03
20,0.031,1052.0,13.09,621.0,2.0,0.0,0.0,0.0,0.031
21,0.032,1058.0,14.12,617.0,1.69,0.0,0.0,0.0,0.032
22,0.03,1059.0,14.28,618.0,1.58,0.0,0.0,0.0,0.03
23,0.032,1055.0,16.12,612.0,1.21,0.0,0.0,0.0,0.032
24,0.03,1051.0,13.38,620.0,1.9,0.0,0.0,0.0,0.03
25,0.032,1059.0,13.43,617.0,1.73,0.0,0.0,0.0,0.032
26,0.03,1055.0,13.24,617.0,2.03,0.0,0.0,0.0,0.03
27,0.033,1056.0,14.11,615.0,2.32,0.0,0.0,0.0,0.033
28,0.03,1053.0,14.71,612.0,1.16,0.0,0.0,0.0,0.03
29,0.033,1055.0,13.77,622.0,1.69,0.0,0.0,0.0,0.033
30,0.017,994.0,8.21,613.0,1.0,0.0,0.0,0.0,0.017
31,0.048,1089.0,27.12,612.0,1.18,0.0,0.0,0.0,0.048
32,0.033,1059.0,14.05,622.0,1.61,0.0,0.0,0.0,0.033
33,0.031,1054.0,15.65,618.0,1.18,0.0,0.0,0.0,0.031
34,0.031,1063.0,13.54,619.0,1.98,0.0,0.0,0.0,0.031
35,0.03,1054.0,15.49,614.0,1.38,0.0,0.0,0.0,0.03
36,0.032,1059.0,15.43,617.0,1.03,0.0,0.0,0.0,0.032
37,0.032,1050.0,15.55,618.0,1.07,0.0,0.0,0.0,0.032
38,0.031,1040.0,11.12,618.0,1.02,0.0,0.0,0.0,0.031
39,0.032,1055.0,12.86,619.0,1.04,0.0,0.0,0.0,0.032
40,0.035,1060.0,18.72,618.0,1.56,0.0,0.0,0.0,0.035
41,0.073,1125.0,49.57,777.0,2.19,0.0,709.0,0.32,0.073
42,0.034,1056.0,14.55,621.0,1.62,0.0,0.0,0.0,0.034
43,0.05,1114.0,26.15,616.0,1.4,0.001,715.0,0.71,0.051
44,0.085,1109.0,30.95,610.0,1.35,0.0,0.0,0.0,0.085
45,0.139,1067.0,96.2,609.0,1.26,0.0,706.0,0.77,0.14
46,0.095,1125.0,36.02,611.0,1.81,0.0,0.0,0.0,0.095
47,0.056,1095.0,20.67,612.0,1.87,0.0,704.0,0.44,0.056
48,0.029,1048.0,11.88,617.0,1.76,0.0,0.0,0.0,0.029
49,0.03,1049.0,14.68,615.0,1.45,0.0,0.0,0.0,0.03
50,0.034,1056.0,15.02,620.0,1.78,0.0,0.0,0.0,0.034
51,0.033,1060.0,15.74,618.0,1.04,0.0,0.0,0.0,0.033
52,0.035,1053.0,16.41,621.0,1.92,0.0,0.0,0.0,0.035
53,0.035,1063.0,15.63,620.0,1.6,0.0,0.0,0.0,0.035
54,0.034,1056.0,16.95,621.0,1.57,0.0,713.0,0.51,0.034
55,0.033,1058.0,15.38,619.0,1.05,0.0,0.0,0.0,0.033
56,0.03,1052.0,15.86,618.0,1.27,0.0,0.0,0.0,0.03
57,0.032,1055.0,14.24,623.0,1.67,0.0,0.0,0.0,0.032
58,0.031,1040.0,11.62,619.0,1.03,0.0,0.0,0.0,0.031
59,0.032,1040.0,11.81,620.0,1.33,0.0,0.0,0.0,0.032
60,0.041,1077.0,18.78,616.0,1.68,0.0,0.0,0.0,0.041
61,0.105,1087.0,84.5,611.0,1.56,0.0,704.0,0.67,0.105
62,0.046,1087.0,21.19,610.0,1.18,0.0,0.0,0.0,0.046
63,0.039,1082.0,19.87,610.0,1.59,0.0,704.0,0.22,0.039
64,0.019,999.0,9.01,609.0,1.45,0.0,0.0,0.0,0.019
65,0.027,1048.0,11.89,613.0,2.13,0.0,0.0,0.0,0.027
66,0.032,1055.0,13.8,614.0,1.89,0.0,0.0,0.0,0.032
67,0.035,1065.0,18.05,619.0,1.7,0.0,704.0,0.22,0.035
68,0.031,1059.0,14.51,617.0,1.44,0.0,0.0,0.0,0.031
69,0.032,1056.0,14.45,615.0,1.95,0.0,0.0,0.0,0.032
70,0.051,1050.0,43.85,614.0,1.56,0.0,0.0,0.0,0.051
71,0.032,1058.0,13.98,616.0,1.66,0.0,0.0,0.0,0.032
72,0.033,1061.0,16.92,618.0,1.27,0.0,705.0,0.22,0.033
73,0.04,1059.0,19.22,617.0,2.18,0.0,0.0,0.0,0.04
74,0.031,1061.0,16.14,612.0,1.51,0.0,705.0,0.22,0.031
75,0.03,1050.0,14.56,613.0,1.18,0.0,0.0,0.0,0.03
76,0.032,1054.0,14.84,618.0,1.05,0.0,0.0,0.0,0.032
