Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W)
0,0.05,1108.0,23.33,622.0,0.82,0.0,0.0,0.0,0.05
1,0.028,1045.0,11.26,612.0,1.19,0.0,0.0,0.0,0.028
2,0.026,1048.0,10.78,614.0,1.09,0.0,0.0,0.0,0.026
3,0.028,1043.0,12.14,613.0,1.46,0.0,0.0,0.0,0.028
4,0.025,1041.0,11.94,612.0,0.94,0.0,0.0,0.0,0.025
5,0.027,1049.0,10.45,612.0,1.52,0.0,0.0,0.0,0.027
6,0.025,1043.0,11.58,608.0,1.05,0.0,0.0,0.0,0.025
7,0.04,1038.0,19.04,610.0,1.21,0.0,0.0,0.0,0.04
8,0.027,1045.0,11.63,615.0,1.1,0.0,0.0,0.0,0.027
9,0.026,1051.0,12.82,615.0,0.82,0.002,711.0,0.41,0.028
10,0.027,1041.0,10.89,612.0,1.19,0.0,0.0,0.0,0.027
11,0.025,1048.0,10.81,615.0,1.0,0.0,0.0,0.0,0.025
12,0.028,1044.0,12.05,613.0,1.36,0.0,704.0,0.22,0.028
13,0.024,1040.0,12.63,611.0,0.88,0.0,0.0,0.0,0.024
14,0.016,999.0,5.88,607.0,0.94,0.0,0.0,0.0,0.016
15,0.017,1013.0,7.13,607.0,0.82,0.0,0.0,0.0,0.017
16,0.027,1049.0,10.28,616.0,1.0,0.0,0.0,0.0,0.027
17,0.025,1044.0,10.56,616.0,0.98,0.0,0.0,0.0,0.025
18,0.027,1047.0,10.15,615.0,1.33,0.0,0.0,0.0,0.027
19,0.026,1040.0,10.52,612.0,1.18,0.0,0.0,0.0,0.026
20,0.026,1050.0,10.75,616.0,1.25,0.0,0.0,0.0,0.026
21,0.024,1044.0,10.64,610.0,1.0,0.0,0.0,0.0,0.024
22,0.024,1040.0,11.67,609.0,0.97,0.0,0.0,0.0,0.024
23,0.027,1044.0,10.66,616.0,1.01,0.0,0.0,0.0,0.027
24,0.025,1044.0,10.45,617.0,0.99,0.0,0.0,0.0,0.025
25,0.026,1042.0,10.63,616.0,0.99,0.0,0.0,0.0,0.026
26,0.026,1040.0,10.16,616.0,0.97,0.0,0.0,0.0,0.026
27,0.025,1041.0,11.09,613.0,0.62,0.0,0.0,0.0,0.025
28,0.025,1051.0,10.42,616.0,1.06,0.0,0.0,0.0,0.025
29,0.026,1047.0,10.91,612.0,1.01,0.0,0.0,0.0,0.026
30,0.025,1043.0,10.29,611.0,1.19,0.0,0.0,0.0,0.025
31,0.025,1038.0,9.11,613.0,1.06,0.0,0.0,0.0,0.025
32,0.012,982.0,3.55,608.0,1.29,0.0,0.0,0.0,0.012
33,0.023,1034.0,7.87,611.0,1.16,0.0,0.0,0.0,0.023
34,0.026,1043.0,10.14,616.0,1.26,0.0,0.0,0.0,0.026
35,0.025,1040.0,10.38,613.0,1.09,0.0,0.0,0.0,0.025
36,0.037,1043.0,28.98,615.0,1.4,0.0,0.0,0.0,0.037
37,0.027,1045.0,10.31,613.0,1.35,0.0,0.0,0.0,0.027
38,0.025,1040.0,10.25,614.0,1.1,0.0,0.0,0.0,0.025
39,0.03,1041.0,13.01,616.0,0.93,0.0,0.0,0.0,0.03
40,0.029,1047.0,12.0,617.0,1.0,0.0,0.0,0.0,0.029
41,0.027,1042.0,11.24,616.0,0.98,0.0,0.0,0.0,0.027
42,0.025,1043.0,10.73,617.0,0.99,0.0,0.0,0.0,0.025
43,0.026,1040.0,10.66,616.0,0.98,0.0,0.0,0.0,0.026
44,0.028,1042.0,12.84,617.0,0.97,0.0,0.0,0.0,0.028
45,0.024,1041.0,11.47,613.0,0.64,0.0,0.0,0.0,0.024
46,0.026,1046.0,10.43,616.0,1.01,0.0,0.0,0.0,0.026
47,0.026,1044.0,10.46,615.0,1.35,0.0,0.0,0.0,0.026
48,0.025,1042.0,9.91,610.0,1.56,0.0,0.0,0.0,0.025
49,0.013,983.0,4.62,610.0,1.31,0.0,0.0,0.0,0.013
50,0.021,1027.0,7.58,612.0,1.18,0.0,0.0,0.0,0.021
51,0.026,1041.0,10.19,616.0,0.97,0.0,0.0,0.0,0.026
52,0.026,1040.0,10.27,617.0,0.98,0.0,0.0,0.0,0.026
53,0.027,1042.0,11.37,616.0,0.98,0.0,0.0,0.0,0.027
54,0.024,1041.0,10.89,613.0,0.64,0.0,0.0,0.0,0.024
