Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W)
0,0.066,1080.0,30.97,627.0,0.8,0.0,0.0,0.0,0.066
1,0.025,1041.0,10.28,618.0,0.95,0.0,0.0,0.0,0.025
2,0.025,1038.0,11.81,615.0,0.6,0.0,0.0,0.0,0.025
3,0.026,1039.0,10.63,617.0,1.22,0.0,0.0,0.0,0.026
4,0.026,1038.0,10.98,614.0,1.05,0.0,0.0,0.0,0.026
5,0.026,1038.0,12.33,616.0,1.13,0.0,0.0,0.0,0.026
6,0.026,1040.0,11.53,615.0,0.96,0.0,0.0,0.0,0.026
7,0.027,1040.0,13.11,618.0,0.92,0.0,0.0,0.0,0.027
8,0.028,1011.0,16.37,613.0,0.97,0.0,0.0,0.0,0.028
9,0.023,1025.0,8.68,613.0,1.14,0.002,713.0,0.51,0.025
10,0.026,1036.0,11.27,618.0,1.05,0.0,0.0,0.0,0.026
11,0.026,1035.0,11.98,615.0,0.96,0.0,0.0,0.0,0.026
12,0.026,1038.0,10.89,618.0,1.28,0.0,0.0,0.0,0.026
13,0.024,1036.0,11.99,609.0,0.81,0.0,0.0,0.0,0.024
14,0.025,1045.0,11.92,610.0,1.46,0.0,0.0,0.0,0.025
15,0.027,1038.0,11.65,610.0,1.32,0.0,0.0,0.0,0.027
16,0.025,1038.0,12.58,615.0,1.01,0.0,0.0,0.0,0.025
17,0.027,1037.0,11.06,618.0,1.26,0.0,0.0,0.0,0.027
18,0.046,1078.0,16.6,610.0,0.7,0.0,709.0,0.31,0.046
19,0.046,1090.0,21.56,615.0,0.96,0.0,709.0,0.32,0.046
20,0.026,1037.0,10.57,617.0,1.29,0.0,0.0,0.0,0.026
21,0.026,1038.0,12.03,612.0,1.08,0.0,0.0,0.0,0.026
22,0.026,1039.0,10.68,617.0,1.33,0.0,0.0,0.0,0.026
23,0.025,1039.0,10.46,611.0,1.16,0.0,0.0,0.0,0.025
24,0.025,1030.0,10.42,612.0,0.95,0.0,0.0,0.0,0.025
25,0.015,984.0,6.17,609.0,1.14,0.0,0.0,0.0,0.015
26,0.024,1034.0,9.65,610.0,1.42,0.0,0.0,0.0,0.024
27,0.026,1035.0,12.91,613.0,1.01,0.0,0.0,0.0,0.026
28,0.026,1039.0,11.78,616.0,0.79,0.0,0.0,0.0,0.026
29,0.03,1044.0,18.26,609.0,1.29,0.0,0.0,0.0,0.03
30,0.034,1039.0,24.45,610.0,1.36,0.0,0.0,0.0,0.034
31,0.024,1045.0,10.75,612.0,1.08,0.0,0.0,0.0,0.024
32,0.025,1041.0,10.98,610.0,1.51,0.0,0.0,0.0,0.025
33,0.023,1047.0,10.25,608.0,1.09,0.0,0.0,0.0,0.023
34,0.025,1035.0,10.54,610.0,1.29,0.0,0.0,0.0,0.025
35,0.026,1041.0,11.23,610.0,1.25,0.0,0.0,0.0,0.026
36,0.027,1037.0,12.84,611.0,1.1,0.0,0.0,0.0,0.027
37,0.025,1040.0,11.23,619.0,0.9,0.0,0.0,0.0,0.025
38,0.028,1043.0,11.48,618.0,1.14,0.0,0.0,0.0,0.028
39,0.027,1038.0,14.39,611.0,0.69,0.0,0.0,0.0,0.027
40,0.025,1045.0,10.78,613.0,0.99,0.0,0.0,0.0,0.025
41,0.017,996.0,6.96,610.0,0.91,0.0,0.0,0.0,0.017
42,0.017,1006.0,6.53,607.0,0.86,0.0,0.0,0.0,0.017
43,0.024,1045.0,9.97,610.0,1.2,0.0,0.0,0.0,0.024
44,0.025,1039.0,10.72,611.0,1.08,0.0,0.0,0.0,0.025
45,0.025,1040.0,10.36,619.0,0.91,0.0,0.0,0.0,0.025
46,0.027,1038.0,11.48,619.0,0.9,0.0,0.0,0.0,0.027
47,0.023,1035.0,11.68,615.0,0.59,0.0,0.0,0.0,0.023
48,0.024,1042.0,11.32,612.0,0.84,0.0,0.0,0.0,0.024
49,0.028,1038.0,12.9,613.0,1.24,0.0,0.0,0.0,0.028
50,0.026,1038.0,11.12,612.0,1.02,0.0,0.0,0.0,0.026
51,0.026,1040.0,11.4,617.0,1.12,0.0,0.0,0.0,0.026
52,0.025,1039.0,10.43,610.0,1.5,0.0,0.0,0.0,0.025
53,0.024,1043.0,9.97,610.0,1.41,0.0,0.0,0.0,0.024
54,0.038,1054.0,14.25,706.0,1.58,0.0,712.0,0.42,0.038
55,0.025,1034.0,13.48,614.0,0.7,0.0,0.0,0.0,0.025
56,0.029,1039.0,14.36,615.0,1.01,0.0,0.0,0.0,0.029
57,0.025,1043.0,11.23,615.0,0.97,0.0,0.0,0.0,0.025
58,0.017,997.0,6.81,607.0,0.92,0.0,0.0,0.0,0.017
59,0.031,1010.0,28.35,611.0,1.58,0.0,0.0,0.0,0.031
60,0.024,1040.0,11.88,609.0,0.91,0.0,0.0,0.0,0.024
61,0.026,1043.0,11.04,610.0,1.05,0.0,0.0,0.0,0.026
62,0.026,1035.0,11.87,619.0,1.05,0.0,0.0,0.0,0.026
63,0.025,1038.0,10.71,614.0,1.04,0.0,0.0,0.0,0.025
64,0.026,1038.0,10.73,612.0,1.22,0.0,0.0,0.0,0.026
65,0.028,1040.0,13.6,612.0,1.28,0.0,0.0,0.0,0.028
66,0.025,1042.0,11.8,612.0,1.15,0.0,0.0,0.0,0.025
67,0.027,1038.0,10.76,611.0,1.37,0.0,0.0,0.0,0.027
68,0.023,1036.0,11.52,610.0,0.69,0.0,0.0,0.0,0.023
69,0.025,1043.0,10.89,614.0,1.34,0.0,0.0,0.0,0.025
70,0.025,1041.0,10.4,612.0,1.42,0.0,0.0,0.0,0.025
71,0.025,1037.0,11.49,611.0,1.28,0.0,0.0,0.0,0.025
72,0.025,1035.0,11.48,614.0,0.98,0.0,0.0,0.0,0.025
73,0.027,1041.0,14.88,614.0,0.52,0.0,0.0,0.0,0.027
74,0.027,1047.0,11.2,615.0,0.95,0.0,0.0,0.0,0.027
75,0.017,991.0,7.12,615.0,0.92,0.0,0.0,0.0,0.017
76,0.019,1016.0,7.99,611.0,1.09,0.0,0.0,0.0,0.019
77,0.029,1037.0,12.12,619.0,0.92,0.0,0.0,0.0,0.029
78,0.051,1105.0,22.31,697.0,1.43,0.0,713.0,0.51,0.051
79,0.025,1038.0,10.94,612.0,1.15,0.0,0.0,0.0,0.025
80,0.025,1035.0,11.29,619.0,0.94,0.0,0.0,0.0,0.025
81,0.026,1036.0,10.66,618.0,1.3,0.0,0.0,0.0,0.026
82,0.024,1043.0,10.21,613.0,1.34,0.0,0.0,0.0,0.024
83,0.025,1035.0,11.11,612.0,1.19,0.0,0.0,0.0,0.025
84,0.022,1040.0,11.3,608.0,0.93,0.0,0.0,0.0,0.022
85,0.025,1039.0,13.29,607.0,0.77,0.0,0.0,0.0,0.025
86,0.025,1039.0,10.68,615.0,0.98,0.0,0.0,0.0,0.025
87,0.027,1038.0,11.51,619.0,0.93,0.0,0.0,0.0,0.027
88,0.039,1040.0,31.06,618.0,1.14,0.0,0.0,0.0,0.039
