Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W)
0,0.053,1117.0,26.06,630.0,0.86,0.0,0.0,0.0,0.053
1,0.031,1061.0,12.89,619.0,1.91,0.0,0.0,0.0,0.031
2,0.02,1001.0,7.99,612.0,1.88,0.0,0.0,0.0,0.02
3,0.023,1037.0,10.5,612.0,1.14,0.0,0.0,0.0,0.023
4,0.045,1057.0,40.34,614.0,1.22,0.0,0.0,0.0,0.045
5,0.031,1057.0,14.45,611.0,1.31,0.0,0.0,0.0,0.031
6,0.031,1056.0,13.56,619.0,1.65,0.0,0.0,0.0,0.031
7,0.029,1056.0,14.49,615.0,1.27,0.0,0.0,0.0,0.029
8,0.031,1045.0,11.09,612.0,1.47,0.0,0.0,0.0,0.031
9,0.031,1073.0,13.63,628.0,1.15,0.0,711.0,0.41,0.031
10,0.031,1055.0,15.56,616.0,1.02,0.0,0.0,0.0,0.031
11,0.03,1054.0,14.18,616.0,0.99,0.0,0.0,0.0,0.03
12,0.03,1059.0,15.12,617.0,1.01,0.0,0.0,0.0,0.03
13,0.031,1062.0,13.21,619.0,1.62,0.0,0.0,0.0,0.031
14,0.03,1063.0,15.38,614.0,1.26,0.0,0.0,0.0,0.03
15,0.03,1051.0,15.03,611.0,1.17,0.0,0.0,0.0,0.03
16,0.031,1056.0,15.04,616.0,1.17,0.0,0.0,0.0,0.031
17,0.029,1056.0,14.67,614.0,1.37,0.0,0.0,0.0,0.029
18,0.03,1064.0,13.13,614.0,1.71,0.0,0.0,0.0,0.03
19,0.027,1033.0,12.68,613.0,0.89,0.0,0.0,0.0,0.027
20,0.019,1007.0,7.35,611.0,1.18,0.0,0.0,0.0,0.019
21,0.032,1048.0,12.83,615.0,1.11,0.0,0.0,0.0,0.032
22,0.03,1057.0,13.91,617.0,1.0,0.0,0.0,0.0,0.03
23,0.029,1051.0,14.64,616.0,1.47,0.0,0.0,0.0,0.029
24,0.03,1048.0,16.34,612.0,1.16,0.0,0.0,0.0,0.03
25,0.032,1060.0,14.29,617.0,1.73,0.0,0.0,0.0,0.032
26,0.03,1061.0,13.58,614.0,1.89,0.0,0.0,0.0,0.03
27,0.031,1052.0,13.33,619.0,1.69,0.0,0.0,0.0,0.031
28,0.031,1057.0,13.66,619.0,1.55,0.0,0.0,0.0,0.031
29,0.033,1047.0,11.02,616.0,1.51,0.0,0.0,0.0,0.033
30,0.054,1125.0,24.82,657.0,1.12,0.003,712.0,0.41,0.057
31,0.032,1062.0,16.6,613.0,1.39,0.0,0.0,0.0,0.032
32,0.032,1060.0,14.81,617.0,1.68,0.0,0.0,0.0,0.032
33,0.037,1056.0,24.96,613.0,1.02,0.0,0.0,0.0,0.037
34,0.039,1059.0,27.14,613.0,1.72,0.0,0.0,0.0,0.039
35,0.032,1064.0,13.75,617.0,1.8,0.0,0.0,0.0,0.032
36,0.03,1059.0,14.61,611.0,1.16,0.0,0.0,0.0,0.03
