Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s
0,1.225,1054.0,24.25,1697.0,41.72,0.001,709.0,0.22,1.226,491.81
1,3.221,1022.0,6.82,3175.0,99.97,0.002,712.0,0.32,3.223,1196.09
2,3.268,1126.0,5.68,3172.0,100.0,0.0,0.0,0.0,3.268,1226.19
3,3.299,1153.0,6.01,3172.0,100.0,0.0,0.0,0.0,3.299,1238.3
4,3.279,1142.0,5.93,3172.0,100.0,0.0,0.0,0.0,3.279,1230.18
5,3.26,1121.0,5.81,3173.0,100.0,0.0,0.0,0.0,3.26,1225.23
6,3.259,1123.0,5.76,3173.0,100.0,0.0,0.0,0.0,3.259,1229.55
7,3.294,1146.0,9.96,3172.0,100.0,0.0,0.0,0.0,3.294,1222.18
8,3.31,1150.0,6.6,3172.0,100.0,0.0,0.0,0.0,3.31,1236.97
9,3.285,1123.0,6.52,3172.0,100.0,0.0,713.0,0.32,3.285,1238.55
10,3.289,1099.0,5.64,3172.0,100.0,0.0,0.0,0.0,3.289,1237.97
11,3.282,1116.0,6.59,3172.0,100.0,0.0,0.0,0.0,3.282,1233.81
12,3.296,1161.0,5.89,3171.0,100.0,0.0,0.0,0.0,3.296,1250.31
13,3.29,1128.0,6.09,3173.0,100.0,0.0,0.0,0.0,3.29,1225.28
14,3.281,1130.0,5.92,3172.0,100.0,0.0,0.0,0.0,3.281,1229.55
15,3.288,1150.0,6.32,3173.0,99.69,0.0,0.0,0.0,3.288,1237.15
16,3.281,1149.0,5.9,3172.0,100.0,0.0,0.0,0.0,3.281,1232.09
17,3.276,1100.0,5.71,3172.0,100.0,0.0,0.0,0.0,3.276,1234.29
18,3.284,1145.0,6.11,3172.0,100.0,0.0,0.0,0.0,3.284,1232.81
19,3.282,1101.0,5.78,3172.0,100.0,0.0,0.0,0.0,3.282,1232.68
20,3.279,1105.0,5.8,3173.0,100.0,0.0,0.0,0.0,3.279,1231.24
21,3.281,1134.0,5.68,3172.0,100.0,0.0,0.0,0.0,3.281,1231.12
22,3.537,1155.0,8.02,3167.0,100.0,0.0,0.0,0.0,3.537,1238.97
23,3.33,1128.0,6.01,3172.0,100.0,0.0,0.0,0.0,3.33,1241.41
24,3.297,1152.0,5.84,3173.0,100.0,0.0,0.0,0.0,3.297,1224.88
25,3.303,1131.0,6.75,3173.0,99.91,0.0,0.0,0.0,3.303,1224.26
26,3.279,1130.0,6.73,3172.0,100.0,0.001,716.0,0.61,3.28,1237.82
27,3.272,1140.0,5.82,3172.0,100.0,0.0,0.0,0.0,3.272,1230.72
28,3.283,1094.0,5.99,3173.0,100.0,0.0,0.0,0.0,3.283,1221.0
29,3.288,1131.0,5.72,3172.0,100.0,0.0,0.0,0.0,3.288,1231.04
30,3.279,1138.0,5.6,3172.0,100.0,0.0,0.0,0.0,3.279,1236.89
31,3.274,1113.0,5.55,3172.0,100.0,0.0,0.0,0.0,3.274,1225.24
32,3.281,1113.0,5.83,3173.0,100.0,0.0,0.0,0.0,3.281,1227.69
33,3.311,1106.0,5.89,3172.0,100.0,0.0,0.0,0.0,3.311,1236.97
34,3.288,1124.0,5.99,3172.0,100.0,0.0,0.0,0.0,3.288,1236.93
35,3.285,1110.0,5.65,3172.0,100.0,0.0,0.0,0.0,3.285,1227.34
36,3.279,1122.0,5.78,3173.0,100.0,0.0,0.0,0.0,3.279,1227.09
37,3.338,1116.0,10.11,3172.0,100.0,0.0,0.0,0.0,3.338,1236.26
38,3.326,1143.0,6.59,3172.0,100.0,0.0,0.0,0.0,3.326,1233.59
39,3.321,1134.0,5.8,3171.0,100.0,0.0,0.0,0.0,3.321,1241.15
40,3.305,1117.0,5.77,3172.0,100.0,0.0,0.0,0.0,3.305,1225.56
41,3.309,1130.0,6.28,3173.0,99.61,0.0,0.0,0.0,3.309,1238.49
42,3.331,1123.0,6.35,3172.0,100.0,0.0,0.0,0.0,3.331,1227.63
43,3.337,1133.0,6.12,3171.0,100.0,0.0,0.0,0.0,3.337,1236.16
44,3.297,1116.0,5.79,3173.0,100.0,0.0,0.0,0.0,3.297,1228.29
45,3.316,1135.0,5.7,3171.0,100.0,0.0,0.0,0.0,3.316,1238.26
46,3.309,1125.0,5.86,3172.0,100.0,0.0,0.0,0.0,3.309,1243.74
47,3.302,1122.0,5.85,3173.0,100.0,0.0,0.0,0.0,3.302,1219.63
48,3.294,1124.0,6.84,3173.0,100.0,0.0,0.0,0.0,3.294,1232.03
49,3.314,1109.0,7.43,3173.0,99.92,0.001,715.0,0.51,3.315,1229.15
50,3.297,1109.0,5.65,3172.0,100.0,0.0,0.0,0.0,3.297,1226.26
51,3.29,1127.0,6.12,3172.0,100.0,0.0,0.0,0.0,3.29,1232.22
52,3.318,1157.0,6.45,3172.0,99.55,0.0,0.0,0.0,3.318,1232.55
53,3.314,1099.0,5.71,3172.0,100.0,0.0,0.0,0.0,3.314,1239.9
