Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU HW active frequency MHz,GPU HW active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s
0,1.809,1237.0,16.96,1707.0,45.05,0.001,708.0,0.22,1.81,50.84,434.16,436.61
1,4.525,1611.0,11.67,3074.0,99.99,0.0,708.0,0.22,4.525,129.15,1069.63,1074.87
2,4.765,1819.0,11.1,3054.0,100.0,0.0,0.0,0.0,4.765,179.84,1157.72,1155.9
3,4.762,1830.0,10.91,3053.0,100.0,0.0,0.0,0.0,4.762,178.74,1139.56,1150.59
4,4.781,1794.0,10.79,3053.0,100.0,0.0,0.0,0.0,4.781,178.02,1153.21,1153.76
5,4.771,1898.0,14.5,3054.0,100.0,0.0,709.0,0.22,4.771,185.83,1148.52,1150.28
6,4.754,1855.0,12.71,3055.0,100.0,0.0,0.0,0.0,4.754,181.04,1149.32,1145.97
7,4.757,1870.0,14.53,3058.0,100.0,0.0,0.0,0.0,4.757,183.77,1144.9,1152.64
8,4.795,1879.0,22.14,3057.0,100.0,0.0,0.0,0.0,4.795,188.53,1150.73,1145.23
9,4.708,1880.0,20.03,3063.0,100.0,0.0,708.0,0.22,4.708,182.76,1143.37,1147.16
10,4.771,1769.0,14.18,3060.0,100.0,0.0,0.0,0.0,4.771,185.5,1154.22,1149.57
11,4.765,1840.0,13.71,3056.0,100.0,0.0,0.0,0.0,4.765,187.36,1148.68,1147.84
12,4.79,1902.0,11.9,3053.0,100.0,0.0,0.0,0.0,4.79,180.67,1153.84,1138.58
13,4.761,1918.0,12.72,3056.0,100.0,0.0,0.0,0.0,4.761,183.98,1140.72,1154.73
14,4.735,1873.0,16.74,3060.0,100.0,0.0,0.0,0.0,4.735,185.03,1150.16,1146.12
15,4.791,1931.0,18.38,3057.0,100.0,0.0,0.0,0.0,4.791,182.01,1140.7,1143.97
16,4.741,1890.0,16.67,3059.0,100.0,0.0,0.0,0.0,4.741,183.67,1147.28,1147.64
17,4.794,1893.0,11.71,3054.0,100.0,0.0,0.0,0.0,4.794,183.12,1150.22,1142.02
18,4.763,1783.0,17.2,3064.0,100.0,0.0,0.0,0.0,4.763,183.5,1153.02,1156.65
19,4.802,1764.0,13.51,3061.0,100.0,0.0,0.0,0.0,4.802,187.22,1143.92,1149.25
20,4.765,1858.0,18.45,3062.0,100.0,0.0,713.0,0.31,4.765,187.15,1149.26,1141.91
21,4.813,1955.0,11.52,3055.0,100.0,0.0,0.0,0.0,4.813,186.9,1139.72,1154.39
22,4.801,1770.0,14.58,3061.0,100.0,0.0,0.0,0.0,4.801,190.06,1143.13,1150.53
23,4.788,1814.0,15.23,3062.0,100.0,0.0,0.0,0.0,4.788,187.33,1147.51,1150.19
24,4.783,1827.0,15.21,3061.0,100.0,0.0,0.0,0.0,4.783,186.75,1148.3,1150.04
25,4.815,1755.0,14.78,3062.0,100.0,0.0,0.0,0.0,4.815,189.6,1144.15,1154.24
26,4.805,1881.0,13.68,3058.0,100.0,0.0,0.0,0.0,4.805,186.87,1148.04,1144.9
27,4.799,1892.0,12.99,3058.0,100.0,0.0,0.0,0.0,4.799,183.73,1134.07,1146.9
28,4.833,1937.0,14.1,3056.0,100.0,0.0,0.0,0.0,4.833,186.85,1151.3,1148.15
29,4.811,1845.0,13.98,3058.0,100.0,0.0,0.0,0.0,4.811,183.8,1142.03,1141.0
30,4.805,1915.0,11.06,3055.0,100.0,0.0,0.0,0.0,4.805,163.72,1142.8,1153.79
31,4.767,1911.0,15.41,3061.0,100.0,0.0,0.0,0.0,4.767,171.98,1137.99,1146.89
32,4.806,1938.0,12.62,3057.0,100.0,0.0,0.0,0.0,4.806,183.35,1141.48,1140.66
