Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s
0,1.945,1270.0,26.53,1778.0,48.53,0.003,715.0,0.51,1.948,53.39,476.14,473.0
1,4.565,1627.0,18.15,3073.0,99.99,0.0,0.0,0.0,4.565,134.5,1071.9,1077.06
2,4.787,1757.0,21.4,3062.0,100.0,0.001,711.0,0.53,4.788,168.73,1154.58,1153.94
3,4.84,1877.0,31.02,3053.0,100.0,0.0,0.0,0.0,4.84,182.02,1150.23,1149.33
4,4.777,1884.0,15.24,3052.0,100.0,0.0,0.0,0.0,4.777,178.82,1144.78,1152.5
5,4.808,1826.0,18.52,3052.0,100.0,0.0,0.0,0.0,4.808,182.97,1148.35,1152.3
6,4.809,1853.0,19.1,3054.0,100.0,0.0,0.0,0.0,4.809,186.29,1143.97,1139.74
7,4.785,1852.0,20.52,3060.0,100.0,0.0,0.0,0.0,4.785,183.87,1142.91,1155.3
8,4.818,1977.0,18.94,3055.0,100.0,0.0,0.0,0.0,4.818,188.34,1140.41,1146.63
9,4.809,1988.0,18.74,3055.0,100.0,0.0,714.0,0.41,4.809,188.49,1139.96,1145.81
10,4.792,1893.0,24.18,3060.0,100.0,0.001,709.0,0.22,4.793,190.66,1145.66,1142.71
11,4.761,1858.0,24.92,3063.0,100.0,0.0,0.0,0.0,4.761,189.12,1145.99,1149.03
12,4.797,1862.0,22.88,3061.0,100.0,0.0,0.0,0.0,4.797,188.83,1146.3,1148.55
13,4.769,1824.0,24.53,3063.0,100.0,0.0,0.0,0.0,4.769,187.46,1146.57,1147.24
14,4.81,1898.0,21.33,3058.0,100.0,0.0,0.0,0.0,4.81,189.34,1136.7,1146.69
15,4.814,1842.0,20.98,3058.0,100.0,0.0,0.0,0.0,4.814,189.21,1147.12,1138.46
16,4.812,1923.0,20.22,3057.0,100.0,0.0,0.0,0.0,4.812,187.21,1142.78,1150.34
17,4.809,1885.0,20.36,3058.0,100.0,0.0,0.0,0.0,4.809,186.55,1142.0,1148.02
18,4.861,1848.0,28.28,3060.0,100.0,0.0,0.0,0.0,4.861,191.43,1137.47,1150.84
19,4.822,1853.0,20.89,3058.0,100.0,0.0,0.0,0.0,4.822,188.75,1147.58,1139.77
20,4.843,1936.0,19.05,3055.0,100.0,0.0,0.0,0.0,4.843,187.04,1141.05,1146.86
21,4.831,1908.0,18.88,3055.0,100.0,0.0,0.0,0.0,4.831,186.16,1131.48,1150.57
22,4.849,1960.0,19.37,3055.0,100.0,0.0,0.0,0.0,4.849,185.44,1147.53,1149.59
23,4.779,1923.0,21.23,3062.0,100.0,0.0,0.0,0.0,4.779,183.16,1142.88,1148.88
24,4.799,1811.0,18.49,3060.0,100.0,0.0,0.0,0.0,4.799,189.21,1144.67,1146.4
25,4.817,1912.0,20.38,3058.0,100.0,0.0,0.0,0.0,4.817,187.54,1137.7,1138.2
26,4.807,1804.0,23.87,3064.0,100.0,0.0,0.0,0.0,4.807,193.28,1146.08,1154.47
27,4.839,1832.0,20.49,3059.0,100.0,0.0,0.0,0.0,4.839,189.22,1143.22,1148.06
28,4.84,1878.0,23.12,3061.0,100.0,0.0,0.0,0.0,4.84,193.0,1145.64,1149.41
29,4.798,1952.0,23.53,3063.0,100.0,0.0,0.0,0.0,4.798,181.64,1138.28,1148.84
30,4.809,1859.0,20.86,3061.0,100.0,0.0,0.0,0.0,4.809,163.4,1149.63,1142.42
31,4.832,1784.0,20.24,3061.0,100.0,0.0,0.0,0.0,4.832,176.56,1144.04,1143.18
32,4.815,1903.0,22.96,3060.0,100.0,0.0,0.0,0.0,4.815,185.29,1142.08,1152.12
33,4.806,1809.0,33.47,3050.0,98.65,0.0,0.0,0.0,4.806,185.57,1143.75,1152.78
34,4.849,1833.0,23.08,3062.0,100.0,0.001,714.0,0.41,4.85,185.59,1147.24,1147.39
35,4.849,1883.0,22.16,3060.0,100.0,0.0,0.0,0.0,4.849,190.62,1142.49,1149.08
36,4.864,1952.0,18.42,3055.0,100.0,0.0,0.0,0.0,4.864,188.24,1141.77,1151.0
37,4.84,1919.0,21.29,3058.0,100.0,0.0,0.0,0.0,4.84,184.99,1143.75,1145.34
38,4.872,1889.0,18.9,3055.0,100.0,0.0,0.0,0.0,4.872,186.59,1139.62,1149.95
39,4.864,1879.0,19.06,3055.0,100.0,0.0,0.0,0.0,4.864,187.7,1140.67,1146.06
40,4.875,1966.0,18.13,3055.0,100.0,0.0,0.0,0.0,4.875,186.86,1139.02,1146.81
41,4.867,1938.0,21.1,3057.0,100.0,0.0,0.0,0.0,4.867,187.69,1136.05,1139.8
42,4.862,1905.0,17.55,3056.0,100.0,0.0,0.0,0.0,4.862,186.65,1140.4,1153.4
43,4.872,1953.0,16.71,3055.0,100.0,0.0,0.0,0.0,4.872,183.36,1142.54,1145.4
44,4.865,1899.0,18.93,3056.0,100.0,0.0,0.0,0.0,4.865,190.48,1141.32,1147.39
45,4.812,1766.0,17.72,3066.0,100.0,0.0,0.0,0.0,4.812,181.74,1149.35,1147.66
46,4.837,1873.0,22.77,3065.0,100.0,0.0,0.0,0.0,4.837,181.03,1150.03,1148.34
47,4.856,1921.0,21.13,3059.0,100.0,0.0,0.0,0.0,4.856,188.91,1139.87,1153.41
48,4.887,1959.0,18.67,3055.0,100.0,0.0,0.0,0.0,4.887,186.97,1134.75,1149.86
49,4.888,1921.0,20.98,3055.0,100.0,0.001,713.0,0.63,4.889,190.36,1145.59,1148.08
50,4.859,1835.0,21.02,3059.0,100.0,0.0,0.0,0.0,4.859,187.92,1139.09,1146.02
