Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU HW active frequency MHz,GPU HW active residency %,Power (W),App CPU ms/s,ComponentB CPU ms/s
0,2.41,1245.0,30.21,2108.0,59.08,0.0,0.0,0.0,2.41,653.98,606.65
1,4.443,1585.0,14.85,3069.0,99.08,0.001,712.0,0.32,4.444,1187.69,1092.83
2,4.617,1686.0,15.31,3065.0,99.96,0.0,712.0,0.31,4.617,1270.58,1127.69
3,4.616,1673.0,14.17,3065.0,99.94,0.0,0.0,0.0,4.616,1258.93,1142.41
4,4.637,1673.0,13.9,3064.0,99.98,0.0,0.0,0.0,4.637,1262.46,1136.05
5,4.61,1688.0,14.84,3067.0,99.98,0.0,0.0,0.0,4.61,1256.19,1126.78
6,4.589,1673.0,16.41,3068.0,99.91,0.0,0.0,0.0,4.589,1253.31,1118.15
7,4.603,1728.0,18.13,3068.0,99.94,0.0,712.0,0.63,4.603,1273.57,1129.83
8,4.571,1713.0,17.35,3070.0,99.77,0.0,0.0,0.0,4.571,1260.43,1105.03
9,4.622,1701.0,15.9,3066.0,99.99,0.002,714.0,0.41,4.624,1266.42,1145.5
10,4.585,1700.0,17.25,3069.0,99.86,0.0,0.0,0.0,4.585,1257.06,1120.58
11,4.649,1665.0,13.45,3064.0,100.0,0.0,0.0,0.0,4.649,1258.06,1130.09
12,4.589,1706.0,17.64,3069.0,99.89,0.0,0.0,0.0,4.589,1257.69,1138.87
13,4.597,1700.0,16.46,3068.0,99.78,0.0,0.0,0.0,4.597,1255.25,1128.28
14,4.583,1723.0,17.02,3070.0,99.81,0.0,0.0,0.0,4.583,1253.04,1116.73
15,4.654,1661.0,14.01,3064.0,100.0,0.0,0.0,0.0,4.654,1259.54,1128.49
16,4.627,1674.0,15.36,3066.0,99.87,0.0,0.0,0.0,4.627,1266.13,1126.8
17,4.645,1632.0,13.62,3061.0,99.42,0.0,0.0,0.0,4.645,1256.97,1143.82
18,4.667,1662.0,13.86,3062.0,100.0,0.0,0.0,0.0,4.667,1258.46,1148.52
19,4.616,1685.0,16.26,3068.0,99.91,0.0,0.0,0.0,4.616,1262.5,1123.02
20,4.625,1689.0,15.52,3068.0,99.8,0.0,0.0,0.0,4.625,1260.98,1119.19
21,4.637,1684.0,15.9,3068.0,99.94,0.0,0.0,0.0,4.637,1268.05,1134.62
22,4.644,1666.0,17.25,3064.0,100.0,0.002,713.0,0.63,4.645,1256.16,1146.9
23,4.686,1686.0,28.68,3065.0,99.99,0.0,0.0,0.0,4.686,1270.57,1142.37
24,4.612,1709.0,19.1,3071.0,99.78,0.003,713.0,0.63,4.615,1257.09,1114.19
25,4.658,1673.0,14.43,3065.0,100.0,0.0,0.0,0.0,4.658,1245.85,1127.37
26,4.651,1685.0,14.93,3066.0,99.82,0.0,0.0,0.0,4.651,1269.18,1128.91
27,4.649,1667.0,15.86,3068.0,99.92,0.0,0.0,0.0,4.649,1260.46,1126.07
28,4.681,1704.0,16.23,3065.0,100.0,0.0,0.0,0.0,4.681,1273.59,1147.71
29,4.665,1673.0,16.08,3066.0,99.87,0.0,0.0,0.0,4.665,1257.15,1136.84
30,4.649,1708.0,15.81,3066.0,99.83,0.0,0.0,0.0,4.649,1254.17,1123.21
31,4.709,1635.0,14.72,3062.0,100.0,0.0,0.0,0.0,4.709,1265.94,1156.31
32,4.686,1693.0,14.19,3063.0,100.0,0.0,0.0,0.0,4.686,1260.01,1148.78
33,4.587,1755.0,21.41,3075.0,99.72,0.0,0.0,0.0,4.587,1266.14,1113.11
34,4.691,1667.0,14.78,3063.0,99.97,0.0,0.0,0.0,4.691,1268.88,1141.4
35,4.674,1703.0,15.73,3067.0,100.0,0.0,0.0,0.0,4.674,1264.82,1129.44
36,4.607,1726.0,17.23,3067.0,99.02,0.0,0.0,0.0,4.607,1258.17,1117.74
37,4.641,1708.0,18.34,3069.0,99.84,0.0,0.0,0.0,4.641,1272.01,1120.5
38,4.684,1680.0,16.1,3064.0,99.87,0.001,712.0,0.32,4.685,1265.64,1129.57
39,4.688,1653.0,14.26,3063.0,99.72,0.0,0.0,0.0,4.688,1260.0,1139.59
40,4.69,1686.0,15.81,3067.0,99.97,0.0,0.0,0.0,4.69,1270.1,1127.82
41,4.697,1713.0,14.8,3064.0,99.88,0.0,0.0,0.0,4.697,1268.77,1146.89
42,4.69,1670.0,15.09,3066.0,99.96,0.0,0.0,0.0,4.69,1265.01,1125.34
43,4.711,1680.0,12.92,3064.0,100.0,0.0,0.0,0.0,4.711,1266.05,1144.71
44,4.683,1688.0,14.91,3066.0,99.99,0.0,0.0,0.0,4.683,1254.91,1121.22
45,4.68,1693.0,16.17,3066.0,99.93,0.0,0.0,0.0,4.68,1267.59,1138.06
46,4.687,1689.0,15.15,3067.0,99.96,0.0,0.0,0.0,4.687,1264.74,1115.91
47,4.64,1675.0,17.42,3070.0,99.57,0.0,0.0,0.0,4.64,1260.1,1115.53
48,4.715,1707.0,13.62,3064.0,100.0,0.0,0.0,0.0,4.715,1261.29,1147.08
49,4.695,1688.0,14.34,3064.0,99.99,0.0,0.0,0.0,4.695,1262.82,1127.71
50,4.739,1661.0,14.17,3064.0,100.0,0.0,0.0,0.0,4.739,1271.97,1141.82
51,4.635,1679.0,18.63,3069.0,99.91,0.0,0.0,0.0,4.635,1263.14,1132.97
52,4.713,1647.0,14.34,3066.0,100.0,0.0,0.0,0.0,4.713,1260.48,1124.97
53,4.779,1696.0,31.4,3063.0,99.98,0.001,713.0,0.31,4.78,1265.7,1144.49
54,4.687,1631.0,13.83,3065.0,99.71,0.0,0.0,0.0,4.687,1246.57,1129.38
55,4.668,1713.0,17.52,3067.0,99.56,0.0,709.0,0.43,4.668,1266.55,1127.36
56,4.688,1686.0,15.71,3065.0,99.99,0.0,0.0,0.0,4.688,1263.54,1127.77
57,4.639,1683.0,18.89,3072.0,99.79,0.0,0.0,0.0,4.639,1254.63,1117.86
58,4.683,1682.0,15.47,3068.0,99.99,0.0,0.0,0.0,4.683,1259.08,1128.11
59,4.726,1700.0,15.04,3065.0,99.99,0.0,0.0,0.0,4.726,1271.1,1123.57
60,4.648,1722.0,17.85,3072.0,99.99,0.0,0.0,0.0,4.648,1254.72,1117.25
61,4.688,1714.0,16.25,3067.0,99.94,0.0,715.0,0.41,4.688,1247.84,1132.91
62,4.719,1683.0,13.61,3064.0,100.0,0.0,0.0,0.0,4.719,1264.23,1132.44
