Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentB CPU ms/s
0,1.975,1274.0,30.24,1773.0,48.77,0.001,707.0,0.22,1.976,556.49,483.32
1,4.538,1650.0,25.24,3071.0,99.45,0.0,0.0,0.0,4.538,1295.39,1078.7
2,4.727,1737.0,29.51,3062.0,99.92,0.0,0.0,0.0,4.727,1438.92,1153.36
3,4.748,1777.0,28.23,3061.0,99.86,0.0,0.0,0.0,4.748,1432.23,1163.12
4,4.749,1765.0,25.92,3060.0,99.95,0.0,0.0,0.0,4.749,1412.04,1160.22
5,4.685,1809.0,34.63,3066.0,99.69,0.0,0.0,0.0,4.685,1426.17,1155.76
6,4.695,1791.0,31.11,3066.0,99.94,0.0,0.0,0.0,4.695,1429.13,1149.22
7,4.723,1769.0,26.71,3063.0,99.9,0.0,0.0,0.0,4.723,1420.32,1154.15
8,4.74,1758.0,27.64,3062.0,99.94,0.0,0.0,0.0,4.74,1415.78,1148.4
9,4.714,1778.0,29.3,3065.0,99.85,0.0,712.0,0.32,4.714,1409.08,1149.97
10,4.729,1796.0,29.59,3064.0,99.98,0.0,0.0,0.0,4.729,1406.46,1151.45
11,4.996,1764.0,26.12,3057.0,100.0,0.0,0.0,0.0,4.996,1393.87,1156.94
12,4.65,1800.0,29.91,3070.0,99.69,0.0,0.0,0.0,4.65,1392.16,1144.94
13,4.724,1799.0,31.79,3065.0,99.85,0.0,0.0,0.0,4.724,1428.64,1154.66
14,4.761,1780.0,29.9,3063.0,99.92,0.0,0.0,0.0,4.761,1431.72,1152.95
15,4.785,1752.0,27.57,3060.0,99.96,0.001,712.0,0.63,4.786,1427.55,1154.1
16,4.763,1784.0,28.74,3062.0,99.93,0.0,0.0,0.0,4.763,1429.35,1154.34
17,4.668,1706.0,22.99,3069.0,99.68,0.0,0.0,0.0,4.668,1333.9,1152.08
18,4.661,1725.0,25.59,3071.0,99.59,0.0,0.0,0.0,4.661,1290.89,1147.3
19,4.646,1727.0,27.59,3073.0,99.49,0.0,0.0,0.0,4.646,1300.68,1159.81
20,4.704,1733.0,24.98,3069.0,99.75,0.0,0.0,0.0,4.704,1297.57,1148.83
21,4.735,1707.0,25.27,3067.0,99.81,0.0,0.0,0.0,4.735,1322.76,1157.99
22,4.687,1693.0,27.11,3071.0,99.54,0.0,0.0,0.0,4.687,1310.84,1163.77
23,4.714,1682.0,24.93,3069.0,99.85,0.0,0.0,0.0,4.714,1301.19,1152.48
24,4.753,1726.0,23.25,3065.0,100.0,0.0,0.0,0.0,4.753,1319.55,1147.56
25,4.788,1697.0,36.06,3066.0,100.0,0.0,0.0,0.0,4.788,1327.45,1155.94
26,4.742,1696.0,23.48,3067.0,100.0,0.0,0.0,0.0,4.742,1321.46,1163.12
27,4.724,1684.0,25.68,3069.0,99.86,0.0,0.0,0.0,4.724,1308.29,1161.27
28,4.708,1703.0,27.11,3069.0,99.73,0.0,0.0,0.0,4.708,1318.9,1155.56
29,4.743,1725.0,25.12,3067.0,99.85,0.0,0.0,0.0,4.743,1307.06,1152.35
30,4.719,1746.0,25.69,3069.0,99.88,0.003,713.0,0.63,4.722,1289.65,1163.87
31,4.748,1695.0,26.86,3069.0,99.87,0.0,0.0,0.0,4.748,1296.4,1156.29
32,4.77,1700.0,23.97,3065.0,100.0,0.0,0.0,0.0,4.77,1317.17,1155.31
33,4.74,1731.0,27.47,3069.0,99.71,0.0,0.0,0.0,4.74,1312.54,1155.69
34,4.725,1777.0,29.34,3068.0,99.64,0.0,0.0,0.0,4.725,1352.41,1150.5
35,4.8,1755.0,29.07,3064.0,99.93,0.0,0.0,0.0,4.8,1395.4,1157.58
