Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,Adapted
0,1.244,1129.0,25.79,1693.0,43.69,0.0,0.0,0.0,1.244,468.23,false
1,3.145,1061.0,13.56,3182.0,99.95,0.001,713.0,0.32,3.146,1111.89,false
2,3.218,1105.0,12.41,3178.0,100.0,0.0,0.0,0.0,3.218,1158.5,false
3,3.22,1151.0,12.68,3179.0,100.0,0.0,0.0,0.0,3.22,1159.31,false
4,3.224,1148.0,12.3,3179.0,100.0,0.0,0.0,0.0,3.224,1159.21,false
5,3.22,1153.0,12.36,3179.0,100.0,0.0,0.0,0.0,3.22,1160.76,false
6,3.225,1109.0,12.31,3178.0,100.0,0.0,0.0,0.0,3.225,1159.71,false
7,3.228,1131.0,12.94,3178.0,100.0,0.0,0.0,0.0,3.228,1159.83,false
8,3.232,1131.0,12.22,3178.0,100.0,0.0,0.0,0.0,3.232,1158.21,false
9,3.221,1126.0,15.28,3178.0,100.0,0.001,713.0,0.63,3.222,1164.09,false
10,3.226,1133.0,13.73,3179.0,100.0,0.0,0.0,0.0,3.226,1161.8,false
11,3.211,1123.0,16.34,3179.0,100.0,0.0,0.0,0.0,3.211,1155.6,false
12,3.21,1073.0,9.27,3179.0,100.0,0.0,0.0,0.0,3.21,1161.6,false
13,3.231,1124.0,12.81,3179.0,100.0,0.0,0.0,0.0,3.231,1160.65,false
14,3.232,1148.0,13.2,3179.0,100.0,0.0,0.0,0.0,3.232,1160.1,false
15,3.238,1131.0,12.91,3179.0,100.0,0.0,0.0,0.0,3.238,1161.88,false
16,3.231,1130.0,13.14,3179.0,100.0,0.0,0.0,0.0,3.231,1158.94,false
17,3.27,1129.0,23.8,3178.0,100.0,0.0,0.0,0.0,3.27,1161.96,false
18,3.246,1156.0,13.84,3178.0,100.0,0.0,0.0,0.0,3.246,1162.38,false
19,3.233,1116.0,13.43,3178.0,100.0,0.0,0.0,0.0,3.233,1159.76,false
20,3.233,1118.0,13.27,3178.0,100.0,0.0,0.0,0.0,3.233,1160.18,false
21,3.231,1132.0,13.62,3179.0,100.0,0.0,0.0,0.0,3.231,1159.02,false
22,3.229,1105.0,13.47,3179.0,100.0,0.0,0.0,0.0,3.229,1151.87,false
23,3.223,1132.0,14.61,3179.0,100.0,0.001,716.0,0.61,3.224,1164.18,false
24,3.235,1142.0,13.94,3179.0,100.0,0.0,0.0,0.0,3.235,1162.9,false
25,3.233,1160.0,13.54,3178.0,100.0,0.0,0.0,0.0,3.233,1161.51,false
26,3.262,1168.0,15.31,3178.0,100.0,0.0,709.0,0.22,3.262,1159.77,false
27,3.242,1135.0,13.61,3179.0,100.0,0.0,0.0,0.0,3.242,1160.83,false
28,3.241,1135.0,13.83,3178.0,100.0,0.0,0.0,0.0,3.241,1158.7,false
29,3.24,1147.0,13.27,3179.0,100.0,0.0,0.0,0.0,3.24,1162.27,false
30,3.237,1121.0,13.14,3179.0,100.0,0.0,0.0,0.0,3.237,1159.93,false
31,3.218,1070.0,9.38,3179.0,100.0,0.0,0.0,0.0,3.218,1151.48,false
32,3.228,1116.0,11.82,3179.0,100.0,0.0,0.0,0.0,3.228,1161.66,false
33,3.24,1127.0,13.19,3179.0,100.0,0.0,0.0,0.0,3.24,1158.22,false
34,3.235,1095.0,13.38,3179.0,100.0,0.0,0.0,0.0,3.235,1161.35,false
35,3.242,1106.0,13.39,3179.0,100.0,0.0,0.0,0.0,3.242,1160.47,false
36,3.24,1121.0,13.42,3179.0,100.0,0.0,0.0,0.0,3.24,1160.88,false
37,3.239,1125.0,13.89,3179.0,100.0,0.0,0.0,0.0,3.239,1160.1,false
38,3.254,1131.0,13.83,3179.0,100.0,0.0,0.0,0.0,3.254,1157.74,false
39,3.247,1117.0,13.32,3179.0,100.0,0.0,0.0,0.0,3.247,1158.39,false
40,3.24,1123.0,13.06,3179.0,100.0,0.0,0.0,0.0,3.24,1159.6,false
41,3.24,1132.0,13.69,3179.0,100.0,0.0,0.0,0.0,3.24,1163.06,false
42,3.242,1097.0,14.24,3178.0,100.0,0.0,0.0,0.0,3.242,1157.46,false
43,3.27,1130.0,18.04,3178.0,100.0,0.0,0.0,0.0,3.27,1159.2,false
44,3.241,1125.0,13.23,3178.0,100.0,0.0,713.0,0.32,3.241,1163.18,false
45,3.243,1126.0,12.76,3179.0,100.0,0.0,0.0,0.0,3.243,1157.81,false
46,3.224,1139.0,13.39,3179.0,100.0,0.0,0.0,0.0,3.224,1158.42,false
47,3.28,1137.0,23.55,3178.0,100.0,0.0,0.0,0.0,3.28,1155.33,false
48,3.24,1126.0,13.14,3179.0,100.0,0.0,0.0,0.0,3.24,1163.12,false
49,3.242,1123.0,12.74,3179.0,100.0,0.0,0.0,0.0,3.242,1163.84,false
50,3.218,1080.0,8.31,3179.0,100.0,0.0,0.0,0.0,3.218,1152.95,false
