Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s,Adapted
0,1.959,1274.0,25.55,1764.0,48.76,0.0,0.0,0.0,1.959,70.99,440.27,441.52,false
1,4.552,1653.0,19.45,3071.0,99.98,0.001,712.0,0.32,4.553,135.33,1078.21,1072.45,false
2,4.77,1842.0,20.93,3058.0,100.0,0.0,709.0,0.22,4.77,173.93,1154.68,1150.81,false
3,4.75,1763.0,24.34,3064.0,100.0,0.0,714.0,0.41,4.75,173.61,1150.65,1154.6,false
4,4.77,1801.0,21.82,3057.0,100.0,0.0,0.0,0.0,4.77,182.65,1153.24,1150.93,false
5,4.782,1841.0,20.01,3054.0,100.0,0.0,0.0,0.0,4.782,180.02,1143.43,1141.46,false
6,4.765,1797.0,29.91,3066.0,100.0,0.0,0.0,0.0,4.765,184.29,1154.57,1151.44,false
7,4.819,1730.0,28.38,3063.0,100.0,0.0,713.0,0.31,4.819,196.39,1152.09,1138.23,false
8,4.797,1878.0,19.85,3056.0,100.0,0.0,712.0,0.32,4.797,187.31,1148.34,1143.92,false
9,4.793,1754.0,25.14,3064.0,100.0,0.003,714.0,0.41,4.796,195.16,1147.58,1152.77,false
10,4.802,1791.0,20.54,3060.0,100.0,0.0,0.0,0.0,4.802,185.69,1156.47,1142.59,false
11,4.794,1745.0,23.92,3066.0,100.0,0.0,709.0,0.22,4.794,182.27,1150.92,1152.64,false
12,4.789,1855.0,20.86,3062.0,100.0,0.0,0.0,0.0,4.789,180.12,1147.44,1138.04,false
13,4.803,1853.0,21.05,3059.0,100.0,0.0,0.0,0.0,4.803,188.65,1149.51,1141.03,false
14,4.744,1950.0,17.2,3059.0,100.0,0.0,0.0,0.0,4.744,185.24,1143.61,1138.85,false
15,4.793,1824.0,23.05,3060.0,100.0,0.0,0.0,0.0,4.793,188.34,1145.77,1151.79,false
16,4.798,1746.0,19.96,3062.0,100.0,0.0,0.0,0.0,4.798,183.78,1138.46,1139.17,false
17,4.817,1881.0,21.75,3059.0,100.0,0.0,0.0,0.0,4.817,189.43,1157.07,1155.38,false
18,4.793,1788.0,22.81,3061.0,100.0,0.0,0.0,0.0,4.793,189.09,1141.51,1141.82,false
19,4.751,1897.0,23.84,3062.0,100.0,0.0,0.0,0.0,4.751,184.12,1149.06,1140.01,false
20,4.83,1772.0,23.29,3063.0,100.0,0.0,0.0,0.0,4.83,197.96,1155.43,1141.97,false
21,4.784,1796.0,23.99,3063.0,100.0,0.0,0.0,0.0,4.784,187.82,1147.84,1150.08,false
22,4.821,1871.0,20.77,3057.0,100.0,0.0,0.0,0.0,4.821,188.58,1144.96,1143.58,false
23,4.825,1857.0,20.19,3056.0,100.0,0.0,0.0,0.0,4.825,188.89,1146.52,1141.16,false
24,4.83,1804.0,20.07,3057.0,100.0,0.0,0.0,0.0,4.83,188.89,1150.75,1140.82,false
25,4.81,1814.0,19.89,3058.0,100.0,0.0,0.0,0.0,4.81,186.3,1142.7,1144.01,false
26,4.782,1942.0,22.8,3060.0,100.0,0.0,0.0,0.0,4.782,187.37,1147.56,1132.72,false
27,4.802,1939.0,21.45,3058.0,100.0,0.0,0.0,0.0,4.802,187.46,1140.18,1149.81,false
28,4.797,1787.0,23.73,3062.0,100.0,0.0,0.0,0.0,4.797,187.9,1151.29,1148.74,false
29,4.807,1906.0,21.76,3058.0,100.0,0.0,0.0,0.0,4.807,187.12,1140.26,1142.69,false
30,4.82,1816.0,20.32,3058.0,100.0,0.0,0.0,0.0,4.82,164.31,1144.6,1139.92,false
31,4.828,1774.0,22.65,3061.0,100.0,0.0,0.0,0.0,4.828,182.02,1146.02,1145.85,false
32,4.86,1963.0,24.98,3057.0,100.0,0.001,714.0,0.41,4.861,188.62,1151.64,1139.96,false
33,4.88,1853.0,24.57,3057.0,100.0,0.0,0.0,0.0,4.88,187.81,1147.04,1136.49,false
34,4.834,1873.0,27.76,3062.0,100.0,0.002,713.0,0.31,4.836,192.06,1149.87,1153.71,false
35,4.825,1833.0,18.29,3058.0,100.0,0.0,0.0,0.0,4.825,190.45,1151.39,1136.89,false
36,4.918,1863.0,40.06,3059.0,100.0,0.001,711.0,0.53,4.919,189.76,1145.24,1149.75,false
37,4.843,1909.0,19.98,3056.0,100.0,0.0,0.0,0.0,4.843,189.3,1139.32,1141.96,false
38,4.848,1956.0,20.39,3056.0,100.0,0.0,713.0,0.31,4.848,187.06,1150.1,1141.68,false
39,4.855,1844.0,20.85,3058.0,100.0,0.0,0.0,0.0,4.855,188.34,1149.08,1136.61,false
