Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentB CPU ms/s,Adapted
0,1.947,1140.0,17.96,1823.0,49.65,0.0,0.0,0.0,1.947,499.33,455.44,false
1,4.513,1472.0,18.09,3073.0,99.98,0.0,0.0,0.0,4.513,1157.85,1083.96,false
2,4.698,1676.0,18.74,3063.0,100.0,0.0,714.0,0.41,4.698,1257.69,1155.62,false
3,4.679,1643.0,18.1,3065.0,99.8,0.0,0.0,0.0,4.679,1245.52,1147.61,false
4,4.655,1655.0,24.48,3068.0,99.66,0.0,0.0,0.0,4.655,1260.01,1156.04,false
5,4.72,1670.0,23.36,3065.0,99.8,0.0,0.0,0.0,4.72,1254.04,1150.56,false
6,4.725,1643.0,21.94,3065.0,100.0,0.0,0.0,0.0,4.725,1263.51,1152.37,false
7,4.693,1676.0,16.53,3067.0,100.0,0.0,0.0,0.0,4.693,1259.43,1147.08,false
8,4.726,1680.0,19.56,3066.0,100.0,0.0,0.0,0.0,4.726,1249.53,1146.91,false
9,4.73,1668.0,19.96,3066.0,100.0,0.002,712.0,0.31,4.731,1265.69,1157.46,false
10,4.678,1679.0,22.4,3069.0,99.7,0.0,0.0,0.0,4.678,1239.33,1151.59,false
11,4.735,1668.0,20.17,3066.0,100.0,0.0,0.0,0.0,4.735,1264.17,1151.81,false
12,4.737,1697.0,19.57,3066.0,100.0,0.0,0.0,0.0,4.737,1260.58,1150.92,false
13,4.728,1698.0,20.92,3067.0,100.0,0.003,713.0,0.63,4.731,1251.66,1150.79,false
14,4.686,1678.0,22.53,3071.0,99.91,0.0,0.0,0.0,4.686,1237.79,1154.14,false
15,4.72,1702.0,21.13,3068.0,100.0,0.002,711.0,0.53,4.722,1245.77,1150.81,false
16,4.741,1674.0,19.31,3066.0,100.0,0.0,0.0,0.0,4.741,1252.52,1147.93,false
17,4.727,1696.0,20.22,3067.0,100.0,0.0,0.0,0.0,4.727,1252.33,1149.75,false
18,4.717,1693.0,19.88,3068.0,99.74,0.0,0.0,0.0,4.717,1248.19,1154.62,false
19,4.736,1709.0,20.9,3068.0,99.86,0.0,0.0,0.0,4.736,1248.24,1149.93,false
20,4.736,1675.0,20.9,3068.0,99.84,0.0,0.0,0.0,4.736,1249.63,1158.88,false
21,4.949,1718.0,25.87,3066.0,99.85,0.0,0.0,0.0,4.949,1253.72,1148.7,false
22,4.727,1674.0,21.4,3068.0,99.85,0.0,0.0,0.0,4.727,1251.76,1150.94,false
23,4.719,1700.0,21.93,3068.0,99.84,0.0,710.0,0.22,4.719,1250.82,1157.6,false
24,4.764,1716.0,27.48,3068.0,99.87,0.0,0.0,0.0,4.764,1246.68,1150.05,false
25,4.73,1672.0,20.7,3068.0,100.0,0.0,0.0,0.0,4.73,1245.18,1151.57,false
26,4.731,1664.0,16.9,3067.0,100.0,0.0,0.0,0.0,4.731,1251.87,1151.19,false
27,4.73,1665.0,16.59,3068.0,99.89,0.0,0.0,0.0,4.73,1250.48,1151.23,false
28,4.758,1671.0,20.61,3066.0,100.0,0.002,712.0,0.53,4.76,1256.1,1151.5,false
29,4.756,1674.0,17.54,3067.0,100.0,0.0,0.0,0.0,4.756,1250.47,1149.57,false
30,4.735,1702.0,20.33,3067.0,99.91,0.002,713.0,0.63,4.737,1235.3,1151.22,false
31,4.76,1683.0,19.16,3066.0,100.0,0.0,0.0,0.0,4.76,1245.23,1154.07,false
32,4.723,1690.0,21.99,3070.0,99.85,0.0,0.0,0.0,4.723,1240.38,1150.68,false
33,4.75,1661.0,20.07,3068.0,100.0,0.0,0.0,0.0,4.75,1248.93,1151.74,false
34,4.763,1680.0,21.79,3067.0,100.0,0.0,713.0,0.63,4.763,1269.46,1147.41,false
35,4.782,1688.0,27.47,3068.0,99.86,0.0,0.0,0.0,4.782,1250.74,1152.11,false
36,4.763,1676.0,20.36,3066.0,100.0,0.0,0.0,0.0,4.763,1257.32,1151.46,false
37,4.757,1671.0,20.66,3068.0,100.0,0.0,0.0,0.0,4.757,1249.73,1152.33,false
38,4.776,1650.0,20.0,3067.0,100.0,0.0,0.0,0.0,4.776,1251.21,1154.22,false
39,4.706,1671.0,22.14,3071.0,99.58,0.0,0.0,0.0,4.706,1235.67,1152.93,false
40,4.785,1672.0,19.73,3066.0,100.0,0.0,0.0,0.0,4.785,1268.46,1154.74,false
41,4.746,1692.0,22.79,3069.0,99.85,0.0,0.0,0.0,4.746,1260.1,1149.75,false
42,4.767,1659.0,20.34,3067.0,99.92,0.0,0.0,0.0,4.767,1247.7,1153.06,false
43,4.766,1673.0,20.3,3068.0,99.8,0.0,0.0,0.0,4.766,1245.35,1148.95,false
