Time (s),Power (W),Voltage (V),Amps (A)
0,251.2,236.6,1.09
1,251.5,236.7,1.093
2,251.3,236.6,1.088
3,251.1,236.5,1.106
4,251.1,236.8,1.099
5,251.0,236.6,1.098
6,250.9,236.5,1.111
7,251.0,236.7,1.127
8,251.3,236.6,1.107
9,251.4,236.5,1.093
10,251.2,236.5,1.095
11,251.4,236.4,1.1
12,251.3,236.4,1.092
13,251.1,236.6,1.113
14,251.4,236.6,1.097
15,251.2,236.6,1.099
16,251.0,236.5,1.123
17,250.9,236.5,1.113
18,251.3,236.4,1.089
19,251.1,236.5,1.087
20,250.9,236.3,1.094
21,251.1,236.3,1.088
22,251.0,236.4,1.091
23,250.9,236.3,1.097
24,251.0,236.4,1.099
25,251.0,236.4,1.099
26,250.8,236.5,1.121
27,250.9,236.4,1.121
28,251.3,236.3,1.091
29,251.2,236.3,1.105
30,251.1,236.5,1.096
31,251.6,236.5,1.085
32,251.3,236.4,1.093
33,251.2,236.6,1.097
34,251.2,236.7,1.102
35,251.1,237.0,1.096
36,251.1,237.0,1.108
37,251.2,236.7,1.112
38,251.4,236.8,1.093
39,251.4,237.0,1.097
40,251.4,236.9,1.097
41,251.7,236.8,1.089
42,251.4,236.8,1.092
43,251.3,236.8,1.097
44,251.4,236.7,1.169
45,257.6,236.9,1.094
46,250.4,236.9,1.12
47,250.6,236.8,1.118
48,250.9,236.9,1.089
49,250.8,236.9,1.087
50,250.7,237.0,1.087
51,251.0,236.7,1.087
52,250.9,236.9,1.093
53,250.8,237.0,1.1
54,250.8,236.8,1.1
55,250.9,237.1,1.095
56,250.9,236.8,1.124
57,251.0,237.0,1.126
58,251.4,236.9,1.101
59,251.4,236.8,1.1
60,251.3,236.8,1.101
61,251.7,236.8,1.095
62,251.5,236.7,1.09
63,251.4,237.0,1.117
64,251.4,237.0,1.098
65,251.4,236.8,1.091
66,251.3,237.1,1.113
67,251.3,237.1,1.115
68,251.6,236.9,1.088
69,251.5,236.9,1.088
70,251.3,237.0,1.097
71,251.6,237.1,1.09
72,251.5,237.0,1.096
73,251.5,237.0,1.104
74,251.5,236.9,1.102
75,251.4,236.9,1.095
76,251.3,237.2,1.108
77,251.3,237.0,1.114
78,251.6,237.2,1.087
79,251.4,237.2,1.083
80,251.2,237.2,1.087
81,251.4,237.2,1.092
82,251.3,237.0,1.089
83,251.1,236.9,1.104
84,251.2,236.9,1.099
85,251.2,237.1,1.113
86,251.2,237.1,1.128
87,251.2,236.9,1.113
88,251.5,237.1,1.088
89,251.4,237.2,1.083
90,251.1,237.1,1.088
91,251.5,237.1,1.086
92,251.4,237.2,1.085
93,251.1,237.2,1.098
94,251.1,237.2,1.098
95,251.1,237.2,1.095
96,251.0,237.1,1.104
97,251.0,237.1,1.114
98,251.2,237.2,1.085
99,251.2,237.1,1.108
100,251.2,237.2,1.089
101,251.3,236.9,1.099
102,251.1,237.1,1.094
103,250.9,237.0,1.108
104,251.1,237.3,1.097
105,251.0,237.0,1.094
106,251.0,237.1,1.11
107,250.9,237.2,1.102
108,251.3,237.3,1.083
109,251.1,237.4,1.091
110,251.0,237.2,1.081
111,251.1,237.2,1.082
112,250.9,237.3,1.086
113,250.7,237.2,1.092
114,250.8,237.2,1.093
115,250.9,237.3,1.084
116,251.3,237.1,1.11
117,251.4,237.4,1.104
118,251.6,237.2,1.091
119,251.5,237.3,1.086
120,251.2,237.2,1.085
121,251.5,237.0,1.086
122,251.4,237.3,1.087
123,251.1,237.1,1.095
124,251.2,237.2,1.097
125,251.2,237.2,1.086
126,251.0,236.9,1.102
127,251.0,237.1,1.096
128,251.2,237.4,1.088
129,251.0,237.3,1.086
130,251.0,237.4,1.091
131,251.3,237.2,1.091
132,251.1,237.3,1.094
133,251.0,237.5,1.103
134,251.2,237.2,1.096
135,251.2,237.1,1.093
136,251.1,237.4,1.113
137,251.1,237.4,1.095
138,251.4,237.4,1.085
139,251.2,237.5,1.084
140,251.1,237.5,1.087
141,251.3,237.2,1.085
142,251.1,237.4,1.088
143,251.1,237.4,1.093
144,251.1,237.2,1.098
145,251.0,237.2,1.091
146,250.9,237.3,1.12
147,251.1,237.3,1.102
148,251.4,237.1,1.099
149,251.4,237.2,1.095
150,251.2,237.1,1.097
151,251.6,237.1,1.101
152,251.4,237.2,1.1
153,251.4,237.2,1.095
154,251.3,237.0,1.092
155,251.3,237.0,1.086
156,251.2,237.3,1.11
157,251.2,237.3,1.097
158,251.5,237.1,1.092
159,251.4,237.0,1.091
160,251.2,237.2,1.099
161,251.6,237.1,1.094
162,251.6,237.1,1.086
163,251.4,237.2,1.102
164,251.4,237.2,1.093
165,251.3,237.1,1.097
166,251.4,237.0,1.104
167,251.3,237.1,1.094
168,251.6,237.2,1.083
169,251.4,237.1,1.086
170,251.2,237.1,1.083
171,251.4,237.3,1.083
172,251.2,237.1,1.082
173,251.0,237.2,1.092
174,251.0,237.2,1.097
175,251.0,237.2,1.085
176,250.9,237.2,1.102
177,250.9,237.1,1.092
178,251.1,237.1,1.088
179,251.5,237.1,1.086
180,251.2,236.9,1.092
181,251.6,237.1,1.084
182,251.4,237.0,1.086
183,251.2,237.1,1.095
184,251.2,236.9,1.093
185,251.1,237.1,1.098
186,251.0,237.0,1.102
187,251.0,237.1,1.1
188,251.4,236.9,1.082
189,251.2,236.9,1.091
190,251.1,237.1,1.09
191,251.3,236.8,1.105
192,251.1,237.1,1.089
193,250.9,236.9,1.102
194,250.9,237.0,1.088
195,250.7,236.8,1.103
196,250.7,237.0,1.107
197,250.8,236.8,1.103
198,251.1,236.9,1.1
199,251.1,236.8,1.089
200,250.9,236.8,1.089
201,251.1,237.0,1.089
202,251.0,236.9,1.088
203,250.8,237.0,1.09
204,250.9,236.9,1.09
205,250.8,237.0,1.09
206,250.6,236.8,1.104
207,250.7,236.9,1.099
208,250.9,236.9,1.1
209,251.1,237.0,1.092
210,250.9,236.7,1.089
211,251.3,237.0,1.09
212,251.3,236.9,1.09
213,251.2,236.9,1.093
214,251.2,237.1,1.094
