Time (s),Power (W),Voltage (V),Amps (A)
0,255.1,237.1,1.1
1,255.3,237.0,1.106
2,255.2,237.0,1.108
3,255.2,237.0,1.104
4,255.1,237.2,1.116
5,260.5,237.2,1.1
6,254.4,237.1,1.111
7,254.5,237.2,1.096
8,254.4,237.2,1.108
9,254.5,237.1,1.107
10,254.9,237.2,1.096
11,255.0,237.1,1.097
12,254.8,237.2,1.1
13,254.7,237.2,1.096
14,254.6,236.9,1.106
15,254.4,237.0,1.101
16,254.5,237.0,1.11
17,254.4,237.0,1.098
18,254.3,237.3,1.102
19,254.3,237.6,1.095
20,254.5,237.5,1.091
21,254.6,237.5,1.094
22,254.5,237.6,1.093
23,254.2,237.6,1.095
24,254.2,237.6,1.096
25,254.1,237.6,1.097
26,254.1,237.5,1.133
27,254.3,237.5,1.096
28,254.2,237.4,1.091
29,254.1,237.3,1.096
30,254.3,237.5,1.097
31,254.5,237.5,1.1
32,254.3,237.5,1.1
33,254.2,237.4,1.101
34,254.0,237.4,1.102
35,253.9,237.7,1.108
36,253.9,237.6,1.098
37,254.0,237.6,1.118
38,254.0,237.6,1.091
39,253.8,237.5,1.116
40,254.1,237.4,1.092
41,254.3,237.2,1.108
42,254.2,237.3,1.098
43,254.2,237.2,1.101
44,254.2,237.2,1.089
45,254.0,237.1,1.099
46,254.0,237.1,1.101
47,254.0,237.1,1.095
48,254.0,237.0,1.092
49,253.7,237.1,1.109
50,254.0,237.3,1.096
51,254.3,237.2,1.094
52,254.2,237.4,1.091
53,254.0,237.6,1.097
54,254.1,237.4,1.094
55,253.9,237.5,1.091
56,253.8,237.4,1.128
57,253.9,237.3,1.103
58,253.8,237.3,1.093
59,253.7,237.3,1.097
60,253.9,237.3,1.094
61,254.2,237.4,1.094
62,254.0,237.3,1.093
63,254.0,237.4,1.1
64,253.9,237.3,1.095
65,253.8,237.4,1.088
66,253.8,237.5,1.1
67,253.9,237.3,1.097
68,253.7,237.4,1.098
69,253.7,237.4,1.094
70,253.9,237.5,1.101
71,254.3,237.3,1.093
72,254.1,237.3,1.095
73,254.0,237.5,1.091
74,253.7,237.3,1.104
75,253.9,237.3,1.093
76,253.8,237.5,1.11
77,253.9,237.4,1.108
78,253.8,237.2,1.109
79,253.9,237.3,1.091
80,253.9,237.2,1.111
81,254.3,237.0,1.109
