Time (s),Power (W),Voltage (V),Amps (A)
0,251.6,238.2,1.082
1,251.8,238.2,1.088
2,251.6,238.1,1.136
3,251.9,238.0,1.085
4,251.7,238.2,1.083
5,251.7,238.0,1.089
6,251.6,238.0,1.083
7,251.6,238.2,1.083
8,251.4,238.0,1.09
9,251.4,238.2,1.083
10,251.4,238.1,1.088
11,251.6,238.0,1.087
12,251.5,238.2,1.12
13,251.8,238.1,1.09
14,251.9,238.2,1.084
15,251.6,238.3,1.085
16,251.5,238.1,1.084
17,251.6,238.3,1.091
18,251.4,238.0,1.087
19,251.3,238.0,1.089
20,251.5,238.1,1.087
21,251.7,238.2,1.091
22,251.5,237.9,1.138
23,252.0,238.0,1.084
24,251.9,237.9,1.083
25,251.7,238.2,1.092
26,251.6,238.0,1.091
27,251.8,238.2,1.092
28,251.7,238.1,1.094
29,251.7,238.2,1.093
30,251.9,238.1,1.094
31,252.0,238.0,1.091
32,251.9,238.1,1.129
33,252.1,238.0,1.084
34,251.9,237.9,1.1
35,251.8,238.2,1.088
36,251.7,237.9,1.1
37,251.7,238.0,1.097
38,251.7,238.1,1.093
39,251.6,238.1,1.097
40,251.8,238.1,1.088
41,252.0,238.0,1.096
42,251.8,238.0,1.109
43,252.1,238.1,1.118
44,257.4,238.0,1.082
45,250.4,238.0,1.094
46,250.4,238.0,1.082
47,250.6,238.2,1.089
48,250.5,238.2,1.088
49,250.7,238.2,1.086
50,251.1,238.1,1.088
51,251.3,238.2,1.085
52,251.3,238.2,1.121
53,251.6,238.2,1.088
54,251.7,238.2,1.085
55,251.5,238.3,1.086
56,251.4,238.2,1.082
57,251.5,238.2,1.093
58,251.4,238.2,1.09
59,251.4,238.1,1.085
60,251.6,238.0,1.091
61,251.8,238.0,1.089
62,251.6,238.2,1.111
63,251.9,238.2,1.086
64,251.7,238.0,1.082
65,251.5,238.1,1.092
66,251.4,238.0,1.099
67,251.5,238.1,1.09
68,251.4,238.1,1.089
69,251.3,237.9,1.09
70,251.5,237.8,1.09
71,251.7,238.0,1.089
72,251.5,237.8,1.114
73,251.8,237.9,1.096
