Time (s),Power (W),Voltage (V),Amps (A)
0,252.9,241.6,1.076
1,253.1,241.6,1.091
2,253.2,241.6,1.083
3,253.0,241.6,1.098
4,253.2,241.5,1.092
5,253.4,241.7,1.087
6,253.2,241.6,1.103
7,253.3,241.6,1.101
8,253.2,241.7,1.075
9,253.1,241.6,1.089
10,253.0,241.6,1.071
11,252.9,241.7,1.076
12,252.7,241.6,1.074
13,252.5,241.6,1.101
14,252.7,241.7,1.078
15,253.0,241.7,1.081
16,252.9,241.6,1.1
17,253.1,241.7,1.084
18,253.0,241.6,1.075
19,252.7,241.6,1.089
20,252.7,241.5,1.073
21,252.6,241.6,1.083
22,252.6,241.6,1.072
23,252.4,241.6,1.095
24,252.7,241.4,1.082
25,252.9,241.4,1.081
26,252.9,241.4,1.118
27,253.3,241.6,1.08
28,253.1,241.5,1.083
29,253.0,241.5,1.079
30,252.8,241.6,1.077
31,253.0,241.6,1.084
32,252.9,241.4,1.076
33,252.8,241.5,1.096
34,253.0,241.7,1.08
35,253.3,241.6,1.078
36,253.0,241.4,1.106
37,253.3,241.5,1.075
38,253.1,241.7,1.079
39,253.1,241.6,1.076
40,252.9,241.5,1.078
41,252.9,241.6,1.088
42,252.8,241.7,1.076
43,252.6,241.7,1.083
44,252.8,241.5,1.086
45,253.1,241.6,1.077
46,252.9,241.5,1.108
47,253.2,241.5,1.073
48,253.0,241.4,1.098
49,253.1,241.5,1.082
50,253.2,241.5,1.084
51,253.5,241.4,1.083
52,253.5,241.4,1.093
53,253.6,241.5,1.094
54,253.9,241.5,1.093
55,254.2,241.4,1.105
56,254.3,241.4,1.129
57,254.7,241.5,1.086
58,254.6,241.7,1.092
59,255.0,241.7,1.082
60,254.9,241.6,1.083
61,255.0,241.7,1.084
62,254.8,241.5,1.09
63,254.8,241.6,1.095
64,254.9,241.4,1.098
65,255.2,241.5,1.086
66,255.1,241.6,1.113
67,255.3,241.8,1.085
68,255.1,241.6,1.096
69,255.0,241.7,1.084
70,254.8,241.7,1.088
71,254.7,241.5,1.088
72,254.5,241.7,1.082
73,254.4,241.6,1.089
74,254.8,241.7,1.087
75,254.9,241.7,1.081
76,254.8,241.7,1.111
77,254.9,241.6,1.084
78,254.8,241.5,1.086
79,254.6,241.6,1.086
80,254.6,241.7,1.082
81,254.6,241.7,1.089
82,254.4,241.6,1.084
83,254.3,241.7,1.103
84,254.6,241.7,1.088
85,254.7,241.5,1.105
86,254.7,241.7,1.113
87,254.9,241.7,1.076
88,254.6,241.6,1.08
89,254.4,241.6,1.075
90,254.2,241.5,1.083
91,254.2,241.7,1.075
92,253.9,241.7,1.087
93,253.7,241.8,1.087
94,253.9,241.6,1.077
95,253.8,241.7,1.068
96,253.6,241.6,1.118
97,253.7,241.7,1.074
98,253.4,241.7,1.083
99,253.2,241.6,1.071
100,253.0,241.4,1.082
101,252.9,241.5,1.086
102,252.8,241.6,1.08
103,252.6,241.4,1.094
104,252.7,241.6,1.079
105,252.8,241.6,1.073
