Time (s),Power (W),Voltage (V),Amps (A)
0,266.8,235.6,1.197
1,278.2,235.6,1.145
2,256.6,235.7,1.201
3,273.1,235.6,1.236
4,273.7,235.6,1.268
5,286.5,235.9,1.247
6,286.6,235.6,1.308
7,298.0,235.7,1.297
8,298.3,235.6,1.336
9,306.1,235.6,1.343
10,306.0,235.6,1.35
11,306.5,235.6,1.356
12,307.1,235.5,1.365
13,312.7,235.4,1.354
14,312.6,235.5,1.366
15,312.6,235.6,1.371
16,312.8,235.5,1.376
17,313.0,235.6,1.347
18,313.1,235.4,1.371
19,313.2,235.5,1.374
20,313.5,235.7,1.378
21,313.7,235.7,1.373
22,314.0,235.6,1.375
23,313.9,235.5,1.377
24,313.9,235.1,1.381
25,314.1,235.2,1.38
26,314.3,235.2,1.38
27,314.2,235.0,1.357
28,314.4,235.1,1.381
29,314.3,235.2,1.379
30,314.6,235.1,1.374
31,314.6,235.3,1.381
32,314.7,235.2,1.367
33,314.8,235.5,1.372
34,314.8,235.6,1.371
35,314.9,235.6,1.376
36,315.0,235.8,1.337
37,314.9,235.9,1.355
38,315.0,235.7,1.397
39,315.1,235.7,1.377
40,315.0,236.0,1.381
41,315.2,236.2,1.372
42,315.2,235.9,1.375
43,314.8,235.8,1.377
44,314.9,236.0,1.382
45,315.2,236.0,1.378
46,315.3,235.7,1.375
47,315.3,235.8,1.38
48,315.2,235.8,1.398
49,315.2,236.0,1.373
50,315.2,236.0,1.37
51,315.1,235.8,1.375
52,315.3,235.7,1.38
53,315.3,236.0,1.379
54,315.6,235.7,1.37
55,315.6,235.9,1.375
56,315.5,235.9,1.378
57,315.6,235.8,1.383
58,315.7,236.0,1.384
59,315.9,235.8,1.378
60,315.9,236.0,1.367
61,315.8,235.7,1.374
62,315.8,235.9,1.377
63,315.7,235.9,1.364
64,315.9,235.9,1.378
65,315.8,235.9,1.361
66,315.8,235.7,1.378
67,315.8,235.7,1.366
68,315.8,235.7,1.397
69,315.9,235.8,1.379
70,315.5,235.9,1.379
71,315.7,236.0,1.382
72,315.7,236.0,1.385
73,315.8,236.0,1.382
74,316.0,236.0,1.383
75,316.2,236.0,1.383
76,316.2,236.0,1.38
77,316.2,235.8,1.362
78,316.1,235.7,1.383
79,316.2,235.7,1.397
80,316.3,235.8,1.382
81,316.4,235.7,1.382
82,316.5,235.8,1.382
83,316.6,235.7,1.383
84,316.6,235.7,1.379
85,316.8,235.7,1.381
86,316.8,235.7,1.378
87,316.7,235.6,1.377
88,316.7,235.6,1.381
89,316.6,235.7,1.38
90,316.6,235.9,1.382
91,316.6,235.9,1.387
92,316.6,235.9,1.381
93,316.5,235.7,1.354
94,316.7,235.7,1.369
95,316.7,235.6,1.38
96,316.9,235.5,1.378
97,316.9,235.7,1.384
98,316.9,235.7,1.387
99,316.9,235.7,1.388
100,317.0,235.7,1.372
101,317.1,235.7,1.382
102,317.1,235.8,1.354
103,316.8,235.6,1.388
104,316.9,235.6,1.386
105,317.0,235.5,1.383
106,317.2,235.5,1.384
107,317.3,235.8,1.38
108,317.3,235.7,1.377
109,316.9,235.5,1.383
110,317.1,235.6,1.384
111,316.9,235.8,1.382
112,317.1,235.8,1.385
113,317.2,235.7,1.403
114,317.4,235.9,1.384
115,317.4,235.8,1.387
116,317.5,235.7,1.388
117,317.5,235.8,1.404
118,317.6,235.6,1.398
119,317.6,235.6,1.383
120,317.5,235.4,1.391
121,317.6,235.6,1.39
122,317.5,235.5,1.39
123,317.6,235.4,1.393
124,317.7,235.5,1.389
125,317.7,235.3,1.382
126,317.7,235.4,1.383
127,317.7,235.6,1.384
128,317.7,235.7,1.384
129,317.7,235.5,1.385
130,317.6,235.2,1.384
131,317.6,235.6,1.384
132,317.7,235.6,1.373
133,317.5,235.4,1.39
134,317.6,235.4,1.404
135,317.7,235.4,1.38
136,317.7,235.5,1.382
137,317.7,235.5,1.378
138,317.7,235.5,1.389
139,317.7,235.4,1.393
140,317.8,235.4,1.397
141,317.9,235.5,1.383
142,318.0,235.5,1.388
143,317.8,235.4,1.389
144,317.8,235.2,1.398
145,318.1,235.2,1.385
146,318.0,235.3,1.391
147,318.1,235.3,1.373
148,317.8,235.2,1.387
149,317.9,235.2,1.392
150,317.9,235.1,1.389
151,318.0,235.1,1.386
152,317.8,235.2,1.385
153,317.8,235.3,1.383
154,317.7,235.3,1.387
155,317.7,235.1,1.389
156,317.8,235.2,1.389
157,317.8,235.2,1.381
158,317.9,235.2,1.385
159,318.1,235.2,1.39
160,318.1,235.2,1.39
161,318.1,235.4,1.392
162,318.3,235.4,1.391
163,318.2,235.4,1.391
164,318.3,235.5,1.389
165,318.3,235.3,1.389
166,318.3,235.2,1.388
167,318.2,235.2,1.37
168,318.1,235.1,1.399
169,318.2,235.0,1.367
170,318.2,235.3,1.396
171,318.3,235.2,1.393
172,318.3,235.3,1.39
173,318.4,235.2,1.389
174,318.3,235.2,1.388
175,318.4,235.1,1.392
176,318.4,235.2,1.376
177,318.4,235.2,1.389
178,318.3,235.2,1.377
179,318.1,235.2,1.367
180,317.8,235.2,1.346
181,299.1,235.3,1.359
182,309.8,235.3,1.378
183,310.0,235.2,1.33
184,303.6,235.0,1.363
185,308.7,235.3,1.256
186,308.1,235.3,1.365
187,314.3,235.1,1.337
188,313.8,235.2,1.367
189,313.6,235.1,1.365
190,313.3,235.1,1.357
191,313.1,235.3,1.311
192,312.6,235.1,1.374
193,312.5,235.1,1.358
194,311.9,235.3,1.365
195,312.1,235.2,1.341
196,312.1,235.1,1.362
197,311.8,235.3,1.379
198,311.7,235.1,1.367
199,312.0,235.1,1.372
200,312.1,235.3,1.368
201,312.6,235.2,1.376
202,312.8,235.4,1.354
203,306.9,235.3,1.315
204,306.8,235.4,1.329
205,306.8,235.3,1.371
206,307.2,235.3,1.349
207,307.6,235.4,1.339
208,307.7,235.1,1.342
209,314.0,235.4,1.359
210,313.7,235.4,1.352
211,313.3,235.2,1.358
212,300.9,235.1,1.378
213,313.6,235.3,1.383
214,313.8,235.1,1.377
215,314.1,235.3,1.384
216,314.3,235.2,1.413
217,314.8,235.3,1.373
218,314.6,235.2,1.356
219,314.0,235.2,1.399
220,314.5,235.0,1.393
221,315.1,234.8,1.401
222,315.7,235.0,1.388
223,316.0,235.0,1.405
224,316.5,234.9,1.391
225,316.9,234.8,1.394
226,317.2,234.9,1.396
227,317.5,234.7,1.398
228,317.6,234.8,1.395
229,317.8,234.8,1.395
230,318.1,235.0,1.39
231,318.3,234.9,1.392
232,318.3,235.0,1.403
233,318.5,234.9,1.392
234,318.5,235.1,1.398
235,318.6,234.9,1.397
236,318.7,235.1,1.39
237,318.8,235.1,1.383
238,318.8,234.9,1.396
239,318.7,235.1,1.388
240,318.7,234.9,1.394
241,318.8,235.0,1.386
242,318.9,235.1,1.383
243,319.0,234.9,1.387
244,319.0,235.0,1.39
245,319.1,235.1,1.392
246,319.2,235.0,1.394
247,319.1,235.2,1.371
248,318.9,235.3,1.396
249,319.0,235.1,1.391
250,318.9,235.4,1.399
251,319.1,235.3,1.396
252,319.0,235.3,1.395
253,318.9,235.5,1.395
254,318.9,235.4,1.374
255,318.8,235.4,1.397
256,319.1,235.2,1.393
257,319.0,235.3,1.394
258,319.0,235.2,1.396
259,319.0,235.4,1.392
260,318.9,235.2,1.399
261,319.1,235.3,1.39
262,319.0,235.2,1.404
263,319.2,235.3,1.378
264,318.9,235.4,1.396
265,319.0,235.4,1.38
266,319.0,235.2,1.395
267,319.1,235.2,1.381
268,319.3,235.2,1.395
269,319.2,235.1,1.396
270,319.3,235.1,1.396
271,319.3,235.3,1.397
272,318.9,235.2,1.389
273,319.2,235.1,1.397
274,319.2,235.3,1.397
275,319.4,235.3,1.398
276,319.4,235.3,1.392
277,319.2,235.1,1.396
278,319.2,235.2,1.389
279,319.2,235.4,1.389
280,319.0,235.4,1.398
281,319.1,235.4,1.39
282,319.3,235.4,1.393
283,319.0,235.3,1.384
284,319.0,235.2,1.398
285,319.1,235.3,1.396
286,319.1,235.4,1.392
287,319.2,235.2,1.386
288,319.2,235.2,1.397
289,319.3,235.2,1.39
290,319.2,235.2,1.401
291,319.4,235.0,1.401
292,319.5,235.1,1.396
293,319.5,234.9,1.432
294,319.9,235.1,1.396
295,319.8,235.0,1.401
296,319.8,234.8,1.399
297,319.7,234.8,1.396
298,319.6,234.9,1.397
299,319.6,234.6,1.399
300,319.8,234.7,1.395
301,319.7,234.8,1.401
302,319.9,234.6,1.397
303,319.7,234.6,1.399
304,319.7,234.8,1.392
305,319.6,234.9,1.397
306,319.6,235.0,1.382
307,319.5,235.0,1.396
308,319.6,235.1,1.389
309,319.7,235.1,1.398
310,319.6,235.0,1.406
311,319.8,235.0,1.393
312,319.8,234.8,1.392
313,319.5,234.9,1.398
314,319.7,234.9,1.395
315,319.7,234.9,1.395
316,319.6,234.8,1.402
317,319.7,235.0,1.401
318,319.8,234.9,1.398
319,319.8,234.9,1.4
320,319.9,234.8,1.423
321,319.9,235.0,1.4
322,320.0,235.0,1.401
323,319.9,234.9,1.396
324,319.9,234.9,1.39
325,319.9,234.9,1.397
326,319.9,234.9,1.398
327,319.8,235.0,1.403
328,319.9,234.9,1.415
329,319.9,234.8,1.395
330,320.0,234.7,1.395
331,320.1,234.6,1.398
332,320.1,234.7,1.398
333,320.0,234.7,1.403
334,320.0,234.6,1.389
335,319.9,234.7,1.399
336,320.0,234.7,1.399
337,320.0,234.7,1.394
338,319.9,234.8,1.393
339,319.9,234.6,1.399
340,320.0,234.9,1.396
341,319.9,234.7,1.402
342,319.9,234.7,1.401
343,319.9,234.7,1.398
344,319.9,234.7,1.395
345,319.9,234.6,1.4
346,319.9,234.7,1.401
347,320.0,234.8,1.393
348,320.0,234.6,1.397
349,320.0,234.5,1.397
350,320.0,234.7,1.397
351,319.9,234.8,1.391
352,320.0,235.1,1.397
353,320.1,234.7,1.393
354,320.0,234.9,1.396
355,320.0,234.8,1.41
356,320.1,234.7,1.4
357,320.2,234.8,1.393
358,320.2,234.6,1.393
359,320.2,234.7,1.398
360,320.2,234.9,1.397
361,320.2,234.8,1.398
362,320.3,234.9,1.398
363,320.3,234.9,1.395
364,320.2,234.8,1.41
365,320.2,234.8,1.394
366,320.1,234.8,1.401
367,320.1,234.6,1.403
368,320.1,234.8,1.4
369,320.1,234.7,1.398
370,320.1,234.8,1.402
371,320.1,234.7,1.394
372,320.1,234.8,1.411
373,320.2,234.8,1.4
374,320.2,234.8,1.398
375,320.0,234.8,1.396
376,320.0,235.9,1.401
377,320.0,236.6,1.384
378,320.0,236.6,1.388
379,320.0,236.5,1.39
380,320.2,236.3,1.396
381,320.4,236.3,1.39
382,320.4,236.3,1.379
383,320.5,236.2,1.391
384,320.5,236.3,1.357
385,320.4,236.2,1.392
386,320.4,236.2,1.385
387,320.4,236.2,1.38
388,320.3,236.4,1.384
389,319.9,236.3,1.385
390,320.0,236.2,1.391
391,320.1,236.4,1.387
392,320.4,236.4,1.397
393,320.5,236.5,1.391
394,320.5,236.5,1.386
395,320.4,236.4,1.389
396,320.4,236.5,1.391
397,320.3,236.3,1.381
398,320.3,236.5,1.394
399,320.4,236.5,1.392
400,320.1,236.6,1.394
401,320.1,236.4,1.407
402,320.3,236.7,1.372
403,320.1,236.6,1.394
404,320.2,236.5,1.39
405,320.3,236.7,1.392
406,320.3,236.6,1.39
407,320.3,236.9,1.383
408,320.2,236.6,1.381
409,320.1,236.8,1.41
410,320.4,236.8,1.386
411,320.4,236.8,1.389
412,320.3,236.7,1.394
413,320.4,237.1,1.388
414,320.4,237.0,1.389
415,320.4,237.2,1.39
416,320.3,237.0,1.388
417,320.2,237.1,1.392
418,320.2,236.8,1.404
419,320.2,237.1,1.386
420,320.1,236.9,1.388
421,320.1,237.0,1.396
422,320.1,236.8,1.401
423,320.1,237.0,1.39
424,320.1,236.8,1.387
425,320.1,236.8,1.394
426,320.2,236.6,1.393
427,320.4,236.7,1.382
428,320.2,236.6,1.384
429,320.0,236.8,1.386
430,319.8,236.7,1.386
431,320.0,236.6,1.388
432,319.9,236.8,1.39
433,320.0,236.7,1.378
434,319.8,236.9,1.385
435,319.9,236.6,1.395
436,320.1,236.8,1.387
437,320.1,236.7,1.37
438,319.9,236.8,1.383
439,319.8,236.5,1.387
440,319.8,236.6,1.389
441,319.9,236.7,1.392
442,319.9,236.5,1.392
443,320.1,236.7,1.394
444,320.5,236.9,1.391
445,320.5,237.1,1.385
446,320.5,237.0,1.388
447,320.5,237.2,1.369
448,320.3,237.3,1.387
449,320.2,237.1,1.393
450,320.3,237.2,1.391
451,320.3,237.0,1.39
452,320.3,237.1,1.386
