Time (s),Power (W),Voltage (V),Amps (A)
0,268.1,237.9,1.121
1,253.3,238.0,1.121
2,253.5,238.1,1.099
3,253.4,238.2,1.093
4,253.3,237.8,1.089
5,253.5,238.0,1.096
6,253.5,237.9,1.09
7,253.2,238.0,1.117
8,253.4,238.2,1.094
9,253.3,237.8,1.188
10,273.9,237.9,1.207
11,274.0,237.8,1.201
12,274.1,237.7,1.187
13,274.3,237.9,1.182
14,274.1,237.7,1.182
15,274.3,237.7,1.183
16,274.1,237.7,1.182
17,273.9,237.7,1.19
18,274.0,237.5,1.248
19,286.2,237.5,1.24
20,286.2,237.4,1.267
21,286.5,237.5,1.263
22,286.8,237.4,1.248
23,286.9,237.3,1.243
24,286.9,237.4,1.248
25,287.5,237.5,1.235
26,287.2,237.4,1.25
27,287.3,237.5,1.287
28,295.9,237.5,1.281
29,295.8,237.3,1.278
30,295.7,237.3,1.292
31,295.8,237.6,1.293
32,295.9,237.5,1.285
33,296.0,237.4,1.277
34,295.9,237.5,1.284
35,296.1,237.5,1.282
36,296.1,237.5,1.302
37,296.7,237.6,1.317
38,302.5,237.5,1.305
39,302.3,237.4,1.311
40,302.2,237.4,1.282
41,302.1,237.3,1.331
42,302.1,237.4,1.311
43,302.0,237.4,1.312
44,302.1,237.3,1.314
45,302.2,237.1,1.327
46,302.7,237.2,1.309
47,302.9,236.9,1.325
48,303.4,237.2,1.239
49,298.3,236.9,1.327
50,306.1,237.1,1.305
51,305.9,237.0,1.341
52,306.1,237.0,1.308
53,305.8,237.0,1.323
54,305.9,236.8,1.344
55,306.3,236.9,1.334
56,306.6,236.7,1.341
57,307.0,236.6,1.344
58,307.1,237.0,1.337
59,307.4,236.9,1.35
60,307.7,236.8,1.337
61,307.7,236.7,1.353
62,308.0,236.8,1.338
63,308.0,236.7,1.352
64,308.4,236.7,1.359
65,308.3,236.6,1.353
66,308.6,236.6,1.354
67,309.1,236.7,1.327
68,309.0,236.8,1.347
69,309.2,236.8,1.35
70,309.4,236.6,1.352
71,309.6,236.6,1.364
72,309.8,236.7,1.355
73,310.1,236.9,1.356
74,310.4,236.8,1.35
75,310.9,236.7,1.359
76,311.2,236.8,1.353
77,311.4,236.5,1.359
78,311.7,236.8,1.355
79,311.9,236.6,1.379
80,312.3,236.7,1.362
81,312.4,236.6,1.373
82,312.8,236.5,1.364
83,313.0,236.7,1.369
84,313.1,236.7,1.363
85,313.2,236.5,1.368
86,313.3,236.6,1.367
87,313.4,236.6,1.359
