Time (s),Power (W),Voltage (V),Amps (A)
0,269.9,238.2,1.102
1,256.9,238.4,1.106
2,256.7,238.2,1.131
3,256.3,238.5,1.12
4,256.4,238.3,1.106
5,256.2,238.5,1.104
6,256.0,238.2,1.105
7,256.1,238.2,1.11
8,255.9,238.4,1.1
9,255.7,238.1,1.147
10,264.3,238.1,1.14
11,264.1,238.1,1.152
12,264.1,238.2,1.155
13,264.1,237.9,1.159
14,264.3,238.2,1.146
15,264.4,238.3,1.136
16,264.3,238.0,1.144
17,264.6,238.3,1.136
18,264.4,238.2,1.189
19,272.9,238.1,1.191
20,272.9,238.0,1.194
21,273.0,238.1,1.197
22,273.2,238.1,1.294
23,279.0,238.0,1.198
24,278.5,238.1,1.189
25,277.9,238.1,1.194
26,277.4,238.1,1.169
27,272.0,238.1,1.18
28,272.4,238.1,1.19
29,272.9,238.3,1.211
30,280.7,238.0,1.224
31,280.5,238.0,1.219
32,280.5,238.2,1.22
33,280.2,238.0,1.225
34,280.6,238.1,1.217
35,280.8,238.1,1.207
36,281.0,238.2,1.263
37,291.9,238.1,1.25
38,291.8,238.1,1.263
39,291.8,238.2,1.259
40,291.7,238.1,1.261
41,291.6,238.2,1.264
42,291.6,238.0,1.281
43,291.7,238.2,1.267
44,291.9,238.1,1.259
45,291.9,238.2,1.285
46,292.4,238.1,1.286
47,297.8,238.3,1.292
48,297.6,238.1,1.284
49,297.5,238.3,1.288
50,297.4,238.0,1.281
51,297.3,238.0,1.294
52,297.3,238.2,1.293
53,297.3,238.4,1.285
54,297.3,238.2,1.295
55,297.6,238.2,1.297
56,298.0,238.1,1.3
57,298.4,238.4,1.305
58,298.6,238.4,1.294
59,298.8,238.2,1.298
60,298.9,238.2,1.296
61,299.0,238.4,1.303
62,299.2,238.5,1.289
63,299.4,238.3,1.313
64,305.0,238.3,1.31
65,304.7,238.3,1.304
66,304.6,238.2,1.311
67,304.5,238.2,1.288
68,304.2,238.1,1.314
69,304.2,238.1,1.298
70,304.0,238.2,1.314
71,303.9,238.3,1.314
72,303.9,238.1,1.323
73,303.8,238.0,1.308
74,304.1,238.2,1.325
75,304.4,237.9,1.324
76,304.8,238.0,1.326
77,305.0,238.3,1.329
78,305.1,238.1,1.329
79,305.3,238.1,1.324
80,305.2,238.2,1.32
81,305.4,238.2,1.334
82,305.7,238.1,1.296
83,305.9,238.0,1.346
84,306.2,238.2,1.332
85,306.4,238.3,1.338
86,306.7,238.2,1.334
87,306.9,238.3,1.334
88,307.1,238.3,1.337
89,307.3,238.4,1.335
90,307.2,238.4,1.337
91,307.5,238.3,1.336
92,307.7,238.5,1.331
93,307.9,238.4,1.342
94,308.2,238.3,1.367
95,308.5,238.6,1.338
96,308.7,238.5,1.326
97,308.7,238.6,1.336
98,308.8,238.5,1.347
99,309.0,238.5,1.337
100,308.7,238.6,1.327
101,308.8,238.6,1.34
102,309.2,238.4,1.335
103,309.3,238.4,1.342
104,309.5,238.5,1.34
105,309.7,238.4,1.339
106,309.9,238.6,1.345
107,310.0,238.5,1.333
108,310.0,238.4,1.351
109,310.2,238.5,1.352
110,310.5,238.4,1.325
111,310.0,238.4,1.344
112,310.1,238.7,1.327
113,310.2,238.7,1.345
114,310.1,238.6,1.339
115,310.4,238.6,1.347
116,310.6,238.7,1.353
117,310.6,238.6,1.348
118,310.8,238.6,1.354
119,311.0,238.7,1.346
120,311.1,238.5,1.346
121,311.1,238.6,1.341
122,311.1,238.6,1.341
123,311.3,238.4,1.348
124,311.3,238.6,1.373
125,311.6,238.5,1.357
126,311.8,238.3,1.352
127,311.8,238.5,1.339
128,311.2,238.5,1.354
129,311.5,238.4,1.357
130,311.8,238.4,1.348
131,312.1,238.5,1.365
132,312.2,238.4,1.338
133,312.3,238.4,1.354
134,312.4,238.4,1.36
135,312.6,238.3,1.354
136,312.7,238.3,1.353
137,312.8,238.5,1.343
138,312.8,238.4,1.355
139,312.9,238.3,1.359
140,313.1,238.4,1.356
141,313.3,238.2,1.357
142,313.3,238.4,1.358
143,313.3,238.4,1.358
144,313.5,238.5,1.362
145,313.6,238.5,1.35
146,313.6,238.3,1.362
147,313.7,238.5,1.35
148,313.8,238.5,1.36
149,313.9,238.6,1.36
150,313.8,238.5,1.355
151,313.9,238.4,1.355
152,314.0,238.5,1.337
153,313.7,238.1,1.352
154,313.8,238.2,1.36
155,313.9,238.2,1.364
156,314.2,238.2,1.357
157,314.3,238.4,1.356
158,314.3,238.4,1.359
159,314.3,238.4,1.339
160,314.2,238.2,1.364
161,314.4,238.2,1.361
162,314.5,238.4,1.351
163,314.5,238.4,1.363
164,314.6,238.2,1.363
165,314.7,238.4,1.372
166,314.8,238.4,1.361
167,314.8,238.3,1.365
168,314.9,238.5,1.356
169,314.9,238.4,1.361
170,315.0,238.4,1.363
171,315.0,238.2,1.355
172,315.1,238.1,1.347
173,315.1,238.2,1.374
174,315.2,238.1,1.362
175,315.3,238.2,1.372
176,315.5,238.2,1.375
177,315.6,237.9,1.362
178,315.7,237.9,1.366
179,315.6,237.9,1.361
180,315.5,237.9,1.35
181,315.5,237.9,1.369
182,315.7,237.9,1.369
183,315.7,237.6,1.368
184,315.8,237.7,1.369
185,315.7,237.8,1.359
186,315.7,237.9,1.371
187,315.7,237.9,1.362
188,315.7,238.0,1.375
189,315.8,237.6,1.374
190,315.8,237.6,1.363
191,315.9,237.7,1.359
192,315.9,237.9,1.341
193,315.7,237.9,1.373
194,315.7,237.9,1.357
195,315.5,237.8,1.366
196,315.7,237.7,1.361
197,315.6,237.7,1.37
198,315.6,237.8,1.367
199,315.6,237.9,1.371
200,315.4,237.7,1.361
201,315.4,237.8,1.367
202,315.4,237.7,1.364
203,315.5,237.6,1.365
204,315.6,237.4,1.383
205,315.7,237.5,1.361
206,315.7,237.4,1.37
207,315.8,237.5,1.37
208,315.9,237.6,1.366
209,316.0,237.5,1.366
210,315.8,237.5,1.363
211,315.9,237.5,1.361
212,315.6,237.5,1.36
213,315.6,237.5,1.373
214,315.7,237.4,1.364
215,315.7,237.4,1.363
216,315.6,237.6,1.382
217,315.9,237.6,1.363
218,315.9,237.7,1.366
219,316.0,237.9,1.32
220,308.2,237.7,1.364
221,315.4,237.8,1.328
222,315.2,237.8,1.37
223,315.4,237.9,1.343
224,315.3,237.7,1.366
225,315.3,237.5,1.368
226,315.5,237.6,1.374
227,315.6,237.8,1.367
228,315.6,237.8,1.371
229,315.7,237.9,1.361
230,315.6,237.9,1.364
231,315.8,237.9,1.364
232,315.8,238.0,1.369
233,315.9,237.9,1.362
234,315.8,237.7,1.375
235,316.0,237.7,1.348
236,316.0,237.8,1.378
237,316.1,237.8,1.374
238,316.3,237.7,1.372
239,316.3,237.7,1.379
240,316.3,237.9,1.374
241,316.4,237.9,1.375
242,316.4,237.8,1.364
243,316.2,237.9,1.375
244,316.2,237.9,1.368
245,316.4,237.8,1.357
246,316.2,237.8,1.367
247,316.1,237.8,1.357
248,316.5,237.7,1.366
249,316.4,237.7,1.37
250,316.4,237.6,1.378
251,316.4,237.6,1.366
252,316.5,237.8,1.372
253,316.5,237.8,1.375
254,316.0,237.8,1.368
255,316.0,237.7,1.371
256,316.1,237.7,1.362
257,316.1,237.6,1.382
258,316.2,237.6,1.366
259,316.2,237.3,1.378
260,316.3,237.3,1.378
261,316.4,237.3,1.374
262,316.4,237.2,1.374
263,316.6,237.3,1.375
264,316.5,237.3,1.367
265,316.6,237.4,1.376
266,316.4,237.0,1.366
267,316.2,236.9,1.374
268,316.2,236.9,1.382
269,316.5,237.0,1.377
270,316.7,237.0,1.366
271,316.6,237.0,1.386
272,316.8,236.9,1.37
273,316.9,236.9,1.38
274,316.9,237.1,1.371
275,316.8,237.1,1.378
276,317.0,237.1,1.374
277,317.2,237.0,1.377
278,317.2,237.1,1.376
279,317.3,237.5,1.367
280,316.9,237.7,1.37
281,316.9,237.9,1.366
282,317.0,237.8,1.375
283,316.9,237.9,1.377
284,316.9,237.8,1.37
285,316.9,237.8,1.379
286,317.1,237.7,1.378
287,317.1,237.8,1.376
288,317.1,237.9,1.377
289,317.3,237.8,1.373
290,317.2,237.8,1.377
291,317.1,237.8,1.378
292,317.0,237.8,1.38
293,317.0,237.7,1.368
294,316.9,237.8,1.365
295,317.0,237.7,1.371
296,317.1,237.6,1.373
297,317.1,237.8,1.348
298,316.6,237.9,1.365
299,308.9,238.0,1.279
300,299.4,238.2,1.321
301,305.2,238.1,1.364
302,305.6,238.1,1.321
303,305.6,238.1,1.332
304,306.0,237.9,1.369
305,306.4,237.9,1.361
306,311.7,238.0,1.358
307,311.7,237.9,1.369
308,311.8,237.9,1.327
309,311.4,237.8,1.363
310,311.6,238.1,1.369
311,311.8,238.1,1.353
312,312.0,238.0,1.34
313,311.8,237.9,1.35
314,312.2,237.9,1.349
315,312.3,237.8,1.364
316,312.4,237.9,1.345
317,312.4,237.8,1.361
318,312.1,237.7,1.289
319,301.7,237.6,1.306
320,302.1,237.6,1.359
321,310.6,237.6,1.329
322,301.8,237.8,1.31
323,302.2,237.8,1.336
324,308.4,237.8,1.317
325,290.8,237.7,1.35
326,309.2,237.7,1.365
327,309.3,237.6,1.363
328,309.4,237.6,1.335
329,309.3,237.6,1.343
330,309.1,237.7,1.355
331,309.2,237.7,1.36
332,309.3,237.6,1.355
333,309.4,237.6,1.336
334,309.6,237.5,1.356
335,309.6,237.6,1.38
336,309.7,237.6,1.297
337,302.1,237.5,1.333
338,302.1,237.6,1.36
339,315.1,237.7,1.34
340,309.2,237.7,1.37
341,317.8,237.8,1.362
342,317.8,237.8,1.367
343,317.7,237.7,1.349
344,317.4,237.7,1.369
345,317.4,237.8,1.383
346,317.6,237.8,1.362
347,317.5,237.8,1.373
348,317.4,237.7,1.361
349,317.4,237.5,1.365
350,317.3,237.4,1.371
351,317.4,237.4,1.371
352,317.4,237.5,1.368
353,317.3,237.3,1.378
354,317.4,237.4,1.377
355,317.5,237.4,1.382
356,317.4,237.5,1.374
357,317.3,237.5,1.355
358,317.1,237.5,1.375
359,317.4,237.4,1.378
360,317.3,237.3,1.369
361,317.2,237.3,1.376
362,317.4,237.3,1.366
363,317.3,237.5,1.374
364,317.4,237.6,1.374
365,317.4,237.7,1.352
366,317.4,237.6,1.365
367,317.4,237.6,1.365
368,317.4,237.6,1.37
369,317.3,237.5,1.366
370,317.1,237.8,1.381
371,317.4,237.8,1.368
372,317.4,237.7,1.368
373,317.4,237.7,1.358
374,317.4,237.5,1.369
375,317.5,237.5,1.368
376,317.6,237.4,1.354
377,317.3,237.4,1.384
378,317.5,237.6,1.378
379,317.5,237.8,1.372
380,317.5,237.8,1.281
381,309.8,237.7,1.379
382,319.4,237.8,1.357
383,319.0,237.9,1.367
384,318.9,237.7,1.372
385,318.7,237.6,1.368
386,318.5,237.5,1.384
387,318.4,237.6,1.371
388,318.3,237.8,1.36
389,318.3,238.1,1.363
390,318.0,238.0,1.372
391,317.7,237.8,1.378
392,317.8,237.8,1.382
393,317.7,237.8,1.37
394,317.7,237.8,1.363
395,317.6,237.9,1.371
396,317.5,237.8,1.381
397,317.3,237.8,1.374
398,317.2,237.9,1.37
399,317.1,237.9,1.363
400,316.9,238.0,1.368
401,316.9,238.0,1.37
402,317.1,238.0,1.369
403,317.2,238.1,1.377
404,317.3,238.0,1.379
405,317.4,238.0,1.374
406,317.5,238.0,1.355
407,317.2,238.0,1.373
408,317.2,237.8,1.379
409,317.1,237.8,1.381
410,317.2,238.1,1.372
411,317.2,238.1,1.384
412,317.2,238.0,1.376
413,317.1,237.8,1.372
414,317.2,237.8,1.38
415,317.2,237.7,1.384
416,317.4,238.0,1.392
417,317.6,238.1,1.376
418,317.6,237.9,1.378
419,317.6,237.8,1.371
420,317.4,238.0,1.383
421,317.4,237.8,1.373
422,317.4,237.9,1.38
423,317.4,238.2,1.371
424,317.3,237.9,1.376
425,317.3,238.1,1.354
426,317.4,237.9,1.365
427,317.3,238.1,1.357
428,316.8,238.2,1.377
429,316.9,237.8,1.385
430,316.9,238.1,1.376
431,317.1,237.9,1.386
432,316.9,237.7,1.377
433,317.2,237.9,1.381
434,317.3,237.8,1.367
435,317.3,237.7,1.361
436,317.1,237.9,1.368
437,317.3,237.8,1.366
438,316.9,237.8,1.371
439,317.1,237.9,1.371
440,317.2,237.9,1.358
441,317.2,237.8,1.371
442,317.0,237.8,1.357
443,317.0,238.0,1.376
444,317.2,238.1,1.376
445,317.3,237.7,1.364
446,317.4,237.9,1.374
447,317.3,237.8,1.374
448,317.5,237.8,1.369
449,317.5,237.8,1.382
450,317.6,237.8,1.373
451,317.4,237.6,1.377
452,317.5,237.6,1.37
453,317.3,237.9,1.374
454,317.3,237.9,1.358
455,317.1,237.7,1.384
456,317.3,237.6,1.379
457,317.4,237.9,1.356
458,316.9,237.8,1.375
459,316.8,237.8,1.365
460,316.6,237.5,1.383
461,316.7,237.7,1.375
462,316.9,237.8,1.381
463,316.7,237.6,1.372
464,316.9,237.8,1.37
465,316.9,237.7,1.378
466,317.0,237.6,1.372
467,307.4,237.7,1.393
468,319.6,237.7,1.383
469,319.2,237.6,1.375
470,318.9,237.6,1.371
471,318.6,237.7,1.383
472,318.4,237.7,1.377
473,318.2,237.6,1.372
474,318.0,237.5,1.392
475,317.9,237.6,1.383
476,317.8,237.8,1.366
477,317.6,237.9,1.375
478,317.8,237.7,1.373
479,317.7,237.5,1.382
480,317.8,237.5,1.377
481,317.7,237.8,1.364
482,317.6,237.9,1.35
483,311.4,237.5,1.38
484,319.1,237.5,1.378
485,318.7,237.6,1.37
486,318.5,237.6,1.38
487,318.5,237.4,1.383
488,318.3,237.5,1.383
489,318.3,237.6,1.372
490,318.0,237.6,1.382
491,318.1,237.5,1.377
492,318.0,237.6,1.379
493,317.6,237.7,1.382
494,317.6,237.5,1.387
495,317.6,237.7,1.378
496,317.7,237.5,1.378
497,317.6,237.7,1.374
498,317.4,237.5,1.371
499,317.6,237.8,1.371
500,317.5,237.6,1.369
501,317.5,237.9,1.369
502,317.4,237.8,1.378
503,317.4,237.8,1.377
504,317.3,237.8,1.38
505,317.4,237.6,1.365
506,317.3,237.7,1.371
507,317.3,237.7,1.37
508,317.1,237.9,1.375
509,317.1,237.8,1.372
510,316.9,237.7,1.373
511,316.9,237.8,1.37
512,316.9,237.8,1.374
513,316.9,237.8,1.374
514,316.9,238.0,1.374
515,316.9,238.3,1.36
516,317.1,238.3,1.373
517,317.1,238.3,1.39
518,317.2,238.4,1.375
519,317.3,238.4,1.369
520,317.0,238.1,1.376
521,317.1,238.3,1.37
522,317.0,238.1,1.386
523,317.2,238.2,1.367
524,317.1,238.0,1.378
525,317.2,237.8,1.38
526,317.3,238.1,1.38
527,317.3,237.9,1.381
528,317.3,238.1,1.382
529,317.3,238.0,1.381
530,317.3,237.9,1.374
531,317.3,238.0,1.374
532,317.4,238.0,1.371
533,317.1,238.1,1.377
534,317.1,238.0,1.375
535,311.9,238.0,1.373
536,317.8,238.1,1.379
537,317.7,237.9,1.37
538,317.5,238.1,1.369
539,317.5,237.9,1.383
540,317.7,238.0,1.377
541,317.6,237.9,1.367
542,317.7,238.0,1.38
543,317.6,237.8,1.382
544,317.7,237.8,1.358
545,317.4,237.9,1.375
546,317.5,237.8,1.36
547,317.4,237.8,1.373
548,317.4,237.7,1.321
549,317.0,237.7,1.382
550,317.3,237.7,1.343
551,317.2,237.6,1.361
552,317.1,237.6,1.382
553,317.1,237.4,1.378
554,317.2,237.4,1.349
555,316.9,237.6,1.368
556,317.1,237.5,1.378
557,317.2,237.4,1.37
558,317.3,237.7,1.37
559,317.3,237.5,1.379
560,317.4,237.5,1.372
561,317.4,237.7,1.379
562,317.4,237.6,1.376
563,317.5,237.6,1.364
564,317.2,237.8,1.375
565,317.3,237.8,1.381
566,317.5,237.7,1.363
567,317.6,237.9,1.364
568,317.6,237.9,1.385
569,317.8,237.7,1.377
570,317.4,237.8,1.379
571,317.5,237.8,1.371
572,317.5,237.7,1.379
573,317.5,237.6,1.376
574,317.6,237.8,1.359
575,317.5,237.7,1.375
576,317.6,237.7,1.375
577,317.6,237.8,1.367
578,317.7,237.6,1.389
579,317.9,237.8,1.372
580,317.6,237.7,1.374
581,317.7,237.9,1.359
582,317.9,237.6,1.372
583,317.9,237.7,1.365
584,317.6,237.7,1.377
585,317.7,237.6,1.369
586,317.7,237.8,1.379
587,317.7,237.8,1.353
588,317.6,237.9,1.373
589,317.6,237.9,1.356
590,317.5,237.8,1.378
591,317.7,238.0,1.379
592,317.8,237.9,1.371
593,317.9,237.8,1.381
594,317.6,238.0,1.381
595,317.6,237.9,1.373
596,317.5,237.7,1.375
597,317.6,238.0,1.329
598,317.1,237.9,1.364
599,316.7,237.7,1.372
600,316.2,237.8,1.38
601,316.2,238.0,1.343
602,310.8,238.0,1.371
603,310.8,237.9,1.362
604,311.1,237.8,1.355
605,311.2,237.8,1.326
606,311.1,238.0,1.356
607,310.7,237.8,1.354
608,310.5,237.9,1.35
609,310.2,238.0,1.356
610,309.8,237.8,1.364
611,309.9,238.0,1.298
612,309.7,237.9,1.339
613,309.3,237.7,1.334
614,309.3,237.9,1.35
615,309.3,237.6,1.387
616,309.7,237.8,1.339
617,299.1,237.7,1.33
618,310.1,237.8,1.34
619,309.9,237.9,1.328
620,310.0,237.7,1.368
621,310.3,237.7,1.354
622,310.6,237.6,1.343
623,310.2,237.6,1.369
624,310.5,237.9,1.321
625,310.1,237.8,1.346
626,309.9,237.9,1.345
627,309.6,237.7,1.344
628,309.3,237.9,1.334
629,309.1,237.7,1.377
630,309.5,237.8,1.343
631,309.0,237.7,1.345
632,309.0,237.8,1.338
633,309.0,237.6,1.375
634,309.4,237.8,1.347
635,309.5,237.6,1.365
636,314.9,237.7,1.374
637,315.3,237.5,1.368
638,315.4,237.7,1.374
639,315.8,237.6,1.365
640,315.8,237.7,1.381
641,316.1,237.7,1.387
642,316.4,237.8,1.37
643,316.1,237.5,1.368
644,316.1,237.8,1.373
645,316.3,237.5,1.385
646,316.5,237.6,1.366
647,316.6,237.8,1.387
648,316.7,237.7,1.369
649,316.9,237.8,1.38
650,317.1,237.6,1.373
651,317.2,237.6,1.386
652,317.3,237.8,1.4
653,317.6,237.7,1.373
654,317.5,237.9,1.382
655,317.6,237.8,1.377
656,317.7,238.0,1.377
657,317.8,237.8,1.384
658,317.9,237.9,1.373
659,317.9,237.7,1.38
660,318.0,237.7,1.382
661,317.9,237.6,1.384
662,318.0,237.9,1.374
663,317.9,237.6,1.376
664,317.9,237.8,1.374
665,317.9,237.5,1.38
666,318.0,237.7,1.371
667,317.9,237.5,1.384
668,317.9,237.5,1.373
669,317.9,237.7,1.376
670,318.0,237.6,1.371
671,318.0,237.6,1.385
672,318.2,237.6,1.372
673,317.9,237.8,1.392
674,318.0,237.9,1.333
675,317.7,237.6,1.384
676,318.0,237.7,1.377
677,317.8,238.0,1.375
678,317.9,237.9,1.367
679,317.9,237.8,1.371
680,317.9,238.0,1.379
681,317.8,237.7,1.38
682,317.9,237.9,1.34
683,317.6,237.5,1.369
684,317.8,237.7,1.352
685,317.7,237.8,1.369
686,317.6,237.7,1.38
687,317.5,237.7,1.38
688,317.7,238.0,1.355
689,317.4,238.0,1.378
690,317.4,237.8,1.373
691,317.6,237.8,1.374
692,317.5,238.0,1.368
693,317.4,238.0,1.383
694,317.5,237.8,1.38
695,317.6,237.9,1.369
696,317.6,238.0,1.366
697,317.8,237.9,1.374
698,317.2,237.9,1.364
699,317.3,238.0,1.378
700,317.0,238.1,1.374
701,317.4,238.1,1.37
702,317.3,237.9,1.368
703,317.4,237.9,1.369
704,317.5,237.9,1.383
705,317.7,238.0,1.364
706,317.5,238.1,1.378
707,317.4,238.0,1.373
