Time (s),Power (W),Voltage (V),Amps (A),Adapted
0,274.6,237.0,1.146,false
1,268.1,237.1,1.182,false
2,268.4,236.8,1.258,false
3,284.1,236.8,1.24,false
4,290.3,236.8,1.27,false
5,290.3,237.0,1.279,false
6,290.7,236.9,1.279,false
7,291.0,236.9,1.286,false
8,298.1,237.0,1.277,false
9,298.0,237.1,1.295,false
10,297.6,237.2,1.312,false
11,297.8,236.9,1.327,false
12,298.2,236.9,1.32,false
13,298.5,236.7,1.334,false
14,306.3,236.9,1.331,false
15,305.7,236.9,1.329,false
16,299.7,236.6,1.327,false
17,300.0,236.6,1.335,false
18,300.5,236.7,1.308,false
19,300.4,236.7,1.318,false
20,301.0,236.9,1.322,false
21,301.3,236.9,1.281,false
22,301.5,236.7,1.331,false
23,302.0,236.7,1.339,false
24,307.4,236.8,1.34,false
25,306.8,236.8,1.303,false
26,306.2,236.8,1.329,false
27,305.9,236.8,1.329,false
28,305.6,236.6,1.338,false
29,297.7,236.5,1.32,false
30,305.8,236.5,1.346,false
31,305.5,236.8,1.277,false
32,300.4,236.6,1.309,false
33,294.6,236.9,1.282,false
34,294.4,236.9,1.303,false
35,301.3,236.8,1.299,false
36,301.3,236.8,1.255,false
37,301.3,236.5,1.379,false
38,315.9,236.4,1.382,false
39,316.0,236.3,1.377,false
40,315.4,236.4,1.381,false
41,315.8,236.3,1.375,false
42,315.9,236.3,1.381,false
43,316.1,236.3,1.37,false
44,316.2,236.4,1.379,false
45,316.2,236.3,1.365,false
46,316.2,236.3,1.377,false
47,316.4,236.3,1.374,false
48,316.4,236.3,1.367,false
49,316.5,236.3,1.388,false
50,316.7,236.4,1.374,false
51,316.9,236.3,1.383,false
52,317.0,236.4,1.381,false
53,317.1,236.2,1.378,false
54,317.1,236.2,1.378,false
55,317.2,236.2,1.359,false
56,317.1,236.2,1.382,false
57,317.2,236.6,1.369,false
58,317.2,236.6,1.379,false
59,317.4,236.7,1.367,false
60,317.2,236.4,1.381,false
61,317.4,236.6,1.382,false
62,317.4,236.6,1.379,false
63,317.5,236.5,1.376,false
64,317.5,236.6,1.402,false
65,317.7,236.6,1.377,false
66,317.7,236.6,1.383,false
67,317.7,236.6,1.382,false
68,317.5,236.5,1.377,false
69,317.5,236.5,1.386,false
70,317.8,236.3,1.384,false
71,318.0,236.5,1.382,false
72,318.0,236.5,1.384,false
73,318.1,236.5,1.381,false
74,318.2,236.4,1.379,false
75,318.1,236.4,1.381,false
76,318.4,236.4,1.38,false
77,318.3,236.4,1.382,false
78,318.4,236.4,1.382,false
79,318.3,236.6,1.377,false
80,318.4,236.6,1.386,false
81,318.5,236.5,1.383,false
82,318.5,236.5,1.386,false
83,318.4,236.5,1.379,false
84,318.5,236.6,1.389,false
85,318.5,236.5,1.391,false
86,318.7,236.5,1.386,false
87,318.8,236.8,1.382,false
88,318.8,236.4,1.384,false
89,318.7,236.5,1.405,false
90,318.9,236.4,1.39,false
91,318.9,236.3,1.383,false
92,318.9,236.4,1.379,false
93,318.9,236.2,1.388,false
94,318.9,236.3,1.366,false
95,313.2,236.3,1.381,false
96,320.8,236.3,1.387,false
97,320.5,236.4,1.382,false
98,320.2,236.2,1.38,false
99,320.0,236.3,1.391,false
100,319.6,236.3,1.351,false
101,319.2,236.3,1.408,false
102,319.3,236.2,1.376,false
103,319.2,236.2,1.388,false
104,319.3,236.3,1.381,false
105,319.2,236.0,1.388,false
106,319.3,236.3,1.387,false
107,318.9,236.1,1.386,false
108,319.0,236.2,1.386,false
109,318.9,236.0,1.383,false
110,318.7,236.2,1.388,false
111,318.8,236.3,1.392,false
112,318.8,236.2,1.389,false
113,319.0,236.4,1.385,false
114,319.1,236.4,1.391,false
115,319.1,236.4,1.384,false
116,318.9,236.5,1.386,false
117,318.9,236.3,1.405,false
118,319.0,236.5,1.384,false
119,319.1,236.4,1.384,false
120,319.1,236.4,1.394,false
121,319.3,236.3,1.39,false
122,319.1,236.3,1.385,false
123,319.3,236.2,1.392,false
124,319.4,236.5,1.384,false
125,319.3,236.6,1.383,false
126,319.1,236.4,1.387,false
127,319.0,236.3,1.396,false
128,319.1,236.4,1.382,false
129,319.2,236.3,1.382,false
130,319.1,236.4,1.385,false
131,319.1,236.2,1.369,false
132,319.0,236.4,1.386,false
133,319.1,236.3,1.356,false
134,319.0,236.4,1.388,false
135,319.0,236.2,1.374,false
136,319.0,236.3,1.384,false
137,319.0,236.0,1.419,false
138,319.3,236.2,1.392,false
139,319.3,236.1,1.386,false
140,319.3,236.1,1.379,false
141,319.3,236.1,1.387,false
142,319.3,236.2,1.41,false
143,319.5,236.1,1.385,false
144,319.5,236.0,1.389,false
145,319.5,235.9,1.388,false
146,319.2,236.0,1.393,false
147,319.4,236.0,1.39,false
148,319.4,236.2,1.388,false
149,319.4,236.2,1.393,false
150,319.5,236.1,1.39,false
151,319.5,236.0,1.39,false
152,319.4,236.2,1.395,false
153,319.4,236.2,1.389,false
154,319.4,236.1,1.39,false
155,319.3,236.1,1.39,false
156,319.2,236.2,1.397,false
157,310.8,236.1,1.391,false
158,321.1,236.0,1.389,false
159,320.8,236.4,1.386,false
160,315.7,236.3,1.384,false
