Time (s),Power (W),Voltage (V),Amps (A),Adapted
0,264.8,239.6,1.081,false
1,251.7,239.6,1.077,false
2,251.4,239.6,1.078,false
3,251.4,239.5,1.092,false
4,251.5,239.5,1.098,false
5,251.8,239.6,1.08,false
6,251.7,239.5,1.08,false
7,251.7,239.5,1.08,false
8,251.5,239.5,1.084,false
9,261.4,239.4,1.139,false
10,261.7,239.4,1.139,false
11,262.1,239.4,1.133,false
12,262.2,239.3,1.141,false
13,262.5,239.4,1.146,false
14,262.9,239.3,1.152,false
15,263.5,239.3,1.138,false
16,263.5,239.2,1.143,false
17,263.7,239.2,1.136,false
18,264.0,239.1,1.194,false
19,280.1,239.1,1.189,false
20,274.8,239.1,1.193,false
21,274.9,239.2,1.187,false
22,275.0,239.0,1.208,false
23,275.1,239.1,1.188,false
24,275.4,239.1,1.198,false
25,275.6,239.3,1.185,false
26,275.6,239.3,1.195,false
27,275.9,239.4,1.221,false
28,283.9,239.1,1.231,false
29,284.3,239.5,1.25,false
30,284.7,239.7,1.221,false
31,284.6,239.7,1.229,false
32,284.6,239.4,1.232,false
33,284.7,239.4,1.226,false
34,284.7,239.5,1.225,false
35,284.7,239.6,1.224,false
36,285.0,239.4,1.26,false
37,291.6,239.5,1.251,false
38,291.5,239.4,1.255,false
39,291.8,239.5,1.233,false
40,291.3,239.5,1.245,false
41,290.9,239.1,1.239,false
42,290.3,239.2,1.234,false
43,283.9,239.3,1.224,false
44,283.4,239.2,1.225,false
45,277.1,239.1,1.195,false
46,286.3,239.1,1.224,false
47,285.8,239.1,1.243,false
48,285.7,239.1,1.234,false
49,286.1,238.9,1.271,false
50,286.4,239.2,1.245,false
51,286.6,239.3,1.259,false
52,287.0,239.3,1.221,false
53,287.0,239.2,1.241,false
54,287.4,239.4,1.255,false
55,288.0,239.1,1.29,false
56,294.6,239.2,1.257,false
57,294.2,239.4,1.264,false
58,293.9,239.4,1.265,false
59,294.2,239.0,1.257,false
60,294.2,238.9,1.241,false
61,294.0,239.1,1.253,false
62,294.0,239.1,1.278,false
63,294.2,239.0,1.269,false
64,294.6,239.5,1.295,false
65,295.2,239.6,1.247,false
66,295.3,239.5,1.25,false
67,294.7,239.6,1.242,false
68,288.4,239.6,1.267,false
69,288.8,239.4,1.273,false
70,288.8,239.5,1.257,false
71,289.4,239.5,1.279,false
72,296.9,239.4,1.288,false
73,296.6,239.6,1.29,false
74,296.9,239.5,1.294,false
75,297.4,239.6,1.307,false
76,288.2,239.3,1.293,false
77,288.7,239.4,1.292,false
78,298.9,239.4,1.303,false
79,299.2,239.4,1.327,false
80,299.7,239.5,1.311,false
81,299.8,239.3,1.323,false
82,307.4,239.5,1.32,false
83,307.4,239.2,1.315,false
84,307.0,239.3,1.318,false
85,306.8,239.5,1.323,false
86,306.9,239.5,1.321,false
87,307.0,239.5,1.325,false
88,307.1,239.4,1.329,false
89,307.3,239.2,1.321,false
90,307.1,239.5,1.324,false
91,307.4,239.3,1.337,false
92,307.8,239.4,1.332,false
93,308.1,239.2,1.34,false
94,308.2,239.2,1.329,false
95,308.4,239.1,1.335,false
96,308.6,239.3,1.328,false
97,308.7,239.1,1.319,false
98,308.7,239.1,1.338,false
